"FID_WDPA_O,N,10,0","WDPAID,N,19,15","WDPA_PID,C,52","PA_DEF,C,20",NAME,"ORIG_NAME,C,254","DESIG,C,254","DESIG_ENG,C,254","DESIG_TYPE,C,20","IUCN_CAT,C,20","STATUS,C,100","STATUS_YR,N,9,0","GOV_TYPE,C,254","FID_WWW_ed,N,10,0","OBJECTID,N,10,0","NAME_1,C,254","COUNTRY,C,254","TYPE,C,50","Region,C,55","CONTINENT,C,13",sq_km
36,53,53,1,Parque Nacional Do Ja__,Parque Nacional Do Ja__,Parque,Park,National,II,Designated,1980,Federal or national ministry or agency,46,61,Lower R_Áo Negro,Brazil,WCS areas of work,AAO,South America,0
56535,220296,220296,1,Central Amazon Conservation Complex,Complexe de conservation de lï‚…Amazonie centrale,World Heritage Site (natural or mixed),World Heritage Site (natural or mixed),International,Not Applicable,Inscribed,2000,Not Reported,46,61,Lower R_Áo Negro,Brazil,WCS areas of work,AAO,South America,0
80788,351832,351832,1,Reserva Extrativista Do Rio Unini,Reserva Extrativista Do Rio Unini,Reserva Extrativista,Extractive Reserve,National,VI,Designated,2006,Federal or national ministry or agency,46,61,Lower R_Áo Negro,Brazil,WCS areas of work,AAO,South America,0
80926,352134,352134,1,Reserva De Desenvolvimento Sustent_’vel Aman_œ,Reserva De Desenvolvimento Sustent_’vel Aman_œ,Reserva de Desenvolvimento Sustent_’vel,Sustainable Development Reserve,National,VI,Designated,1998,Sub-national ministry or agency,46,61,Lower R_Áo Negro,Brazil,WCS areas of work,AAO,South America,0
1131,2037,2037,1,Parque Nacional Pil__n-Lajas,Parque Nacional Pil__n-Lajas,UNESCO-MAB Biosphere Reserve,UNESCO-MAB Biosphere Reserve,International,Not Applicable,Designated,1977,Not Reported,38,52,Madidi Tambopata,"Bolivia, Peru",WCS areas of work,AAO,South America,0
6732,20011,20011,1,Pil__n Lajas,Pil__n Lajas,Reserva de la Bi__sfera y Territorio Ind_Ágena,Biosphere Reserve and Indigenous Territory,National,Not Reported,Designated,1992,Federal or national ministry or agency,38,52,Madidi Tambopata,"Bolivia, Peru",WCS areas of work,AAO,South America,0
57970,303894,303894,1,Madidi,Madidi,_Ÿrea Natural de Manejo Integrado,Natural Integrated Management Area,National,Not Reported,Designated,1995,Federal or national ministry or agency,38,52,Madidi Tambopata,"Bolivia, Peru",WCS areas of work,AAO,South America,0
57974,303898,303898,1,Pil__n Lajas,Pil__n Lajas,Indigenous Territory,Indigenous Territory,National,Not Reported,Designated,1992,Federal or national ministry or agency,38,52,Madidi Tambopata,"Bolivia, Peru",WCS areas of work,AAO,South America,0
7777,26072,26072,1,Mananara Nord,Mananara Nord,Marine Park,Marine Park,National,II,Designated,1989,Collaborative governance,61,88,,Madagascar,,East Africa and West Indian Ocean,Africa,79
57840,303695,303695,1,Masoala,Masoala,National Park,National Park,National,II,Designated,1997,Non-profit organisations,61,88,,Madagascar,,East Africa and West Indian Ocean,Africa,2069
81006,352249,352249,1,Makira,Makira,Natural Park,Natural Park,National,II,Proposed,2005,Not Reported,61,88,,Madagascar,,East Africa and West Indian Ocean,Africa,4741
57840,303695,303695,1,Masoala,Masoala,National Park,National Park,National,II,Designated,1997,Non-profit organisations,61,88,,Madagascar,,East Africa and West Indian Ocean,Africa,36
81006,352249,352249,1,Makira,Makira,Natural Park,Natural Park,National,II,Proposed,2005,Not Reported,61,88,,Madagascar,,East Africa and West Indian Ocean,Africa,36
420,643,643,1,Odzala Kokoua,Odzala Kokoua,Parc National,National Park,National,II,Designated,1935,Collaborative governance,47,62,Gabon,Gabon,Policy,Central Africa,Africa,1
436,666,666,1,Wonga-Wongu_¨,Wonga-Wongu_¨,R_¨serve Presidentielle,Presidential Reserve,National,Not Reported,Designated,1976,Federal or national ministry or agency,47,62,Gabon,Gabon,Policy,Central Africa,Africa,684
631,917,917,1,Ruaha National Park,Ruaha National Park,National Park,National Park,National,II,Designated,1964,Federal or national ministry or agency,59,86,Ruaha-Katavi,Tanzania,,East Africa and West Indian Ocean,Africa,10905
634,921,921,1,Katavi National Park,Katavi National Park,National Park,National Park,National,II,Designated,1974,Federal or national ministry or agency,59,86,Ruaha-Katavi,Tanzania,,East Africa and West Indian Ocean,Africa,0
657,957,957,1,Queen Elizabeth,Queen Elizabeth,National Park,National Park,National,II,Designated,1952,Federal or national ministry or agency,108,0,,,,,Africa,0
734,1082,1082,1,Kahuzi-Biega,Kahuzi-Biega,Parc National,National Park,National,II,Designated,1970,Not Reported,15,17,Kahuzi-Biega,DRC,WCS areas of work,Central Africa,Africa,177
734,1082,1082,1,Kahuzi-Biega,Kahuzi-Biega,Parc National,National Park,National,II,Designated,1970,Not Reported,17,19,Oku Reserve,DRC,WCS areas of work,Central Africa,Africa,0
811,1245,1245,1,Lob_¨k_¨,Lob_¨k_¨,Parc National,National Park,National,II,Designated,2001,Federal or national ministry or agency,21,23,Ndoki-Likouala,Congo,WCS areas of work,Central Africa,Africa,2
873,1371,1371,1,Boma,Boma,National Park,National Park,National,II,Designated,1986,Federal or national ministry or agency,49,64,South Sudan,South Sudan,WCS areas of work,Sudano-Sahel,Africa,19757
874,1372,1372,1,Shambe,Shambe,National Park,National Park,National,II,Designated,1985,Federal or national ministry or agency,48,63,South Sudan,South Sudan,WCS areas of work,Sudano-Sahel,Africa,1749
920,1443,1443,1,Kigezi,Kigezi,Wildlife Reserve,Wildlife Reserve,National,III,Designated,1952,Federal or national ministry or agency,108,0,,,,,Africa,0
1254,2337,2337,1,Badingilo,Badingilo,National Park,National Park,National,II,Designated,1986,Federal or national ministry or agency,50,65,South Sudan,South Sudan,WCS areas of work,Sudano-Sahel,Africa,8939
1483,3051,3051,1,Queen Elizabeth National Park,Queen Elizabeth National Park,UNESCO-MAB Biosphere Reserve,UNESCO-MAB Biosphere Reserve,International,Not Applicable,Designated,1979,Not Reported,108,0,,,,,Africa,0
1894,4328,4328,1,Kahuzi-Biega National Park,Parc national de Kahuzi-Biega,Site du Patrimoine Mondial (naturel ou mixte),World Heritage Site (natural or mixed),International,Not Applicable,Inscribed,1980,Not Reported,15,17,Kahuzi-Biega,DRC,WCS areas of work,Central Africa,Africa,0
2718,7425,7425,1,Parc national d'Odzala,Parc national d'Odzala,UNESCO-MAB R_¨serve de Biosph_Àre,UNESCO-MAB Biosphere Reserve,International,Not Applicable,Designated,1977,Not Reported,47,62,Gabon,Gabon,Policy,Central Africa,Africa,0
2726,7438,7438,1,Rungwa River G.C.A.,Rungwa River G.C.A.,Game Reserve,Game Reserve,National,IV,Designated,1951,Federal or national ministry or agency,59,86,Ruaha-Katavi,Tanzania,,East Africa and West Indian Ocean,Africa,1084
2927,7883,7883,1,Kizigo G.R. (C),Kizigo G.R. (C),Game Reserve,Game Reserve,National,IV,Designated,1972,Federal or national ministry or agency,59,86,Ruaha-Katavi,Tanzania,,East Africa and West Indian Ocean,Africa,4258
6742,20058,20058,1,Korup,Korup,Parc National,National Park,National,II,Designated,1986,Federal or national ministry or agency,32,34,Takamanda,Nigeria,WCS areas of work,Central Africa,Africa,1
6782,20166,20166,1,Mbam et Djerem,Mbam et Djerem,Parc National,National Park,National,II,Designated,2000,Federal or national ministry or agency,16,18,Mbam et Djerem,Cameroon,WCS areas of work,Central Africa,Africa,4279
6805,20260,20260,1,Estuario del Muni,Estuario del Muni,R_¨serve Naturelle,Nature reserve,National,Not Reported,Designated,2000,Federal or national ministry or agency,47,62,Gabon,Gabon,Policy,Central Africa,Africa,1
6816,20299,20299,1,Cross River,Cross River,National Park,National Park,National,II,Designated,1991,Federal or national ministry or agency,31,33,Cross River,"Nigeria, Cameroon",WCS areas of work,Central Africa,Africa,607
6816,20299,20299,1,Cross River,Cross River,National Park,National Park,National,II,Designated,1991,Federal or national ministry or agency,32,34,Takamanda,Nigeria,WCS areas of work,Central Africa,Africa,965
6819,20330,20330,1,Maika-Penge,Maika-Penge,Domaine de Chasse,Hunting Area,National,VI,Designated,1951,Not Reported,18,20,Ituri,DRC,WCS areas of work,Central Africa,Africa,1506
8597,28839,28839,1,Petit Loango,Petit Loango,R_¨serve de Faune,Faunal Reserve,National,Not Reported,Designated,1966,Not Reported,47,62,Gabon,Gabon,Policy,Central Africa,Africa,3
8598,28840,28840,1,Ouanga Plain,Ouanga Plain,R_¨serve de Faune,Faunal Reserve,National,Not Reported,Designated,1966,Not Reported,47,62,Gabon,Gabon,Policy,Central Africa,Africa,7
8599,28844,28844,1,Ngove-Ndogo,Ngove-Ndogo,Zone de Chasse,Hunting Area,National,IV,Designated,1966,Not Reported,47,62,Gabon,Gabon,Policy,Central Africa,Africa,2534
8600,28845,28845,1,Sette-Cama,Sette-Cama,Zone de Chasse,Hunting Area,National,Not Reported,Designated,1966,Not Reported,47,62,Gabon,Gabon,Policy,Central Africa,Africa,316
8601,28846,28846,1,Iguela,Iguela,Zone de Chasse,Hunting Area,National,IV,Designated,1966,Not Reported,47,62,Gabon,Gabon,Policy,Central Africa,Africa,794
8602,28847,28847,1,Moukalaba,Moukalaba,R_¨serve de Chasse,Hunting Reserve,National,Not Reported,Designated,1962,Not Reported,47,62,Gabon,Gabon,Policy,Central Africa,Africa,190
8603,28848,28848,1,Moukalaba-Dougoua,Moukalaba-Dougoua,R_¨serve de Faune,Faunal Reserve,National,IV,Designated,1962,Not Reported,47,62,Gabon,Gabon,Policy,Central Africa,Africa,4
9293,31458,31458,1,Dzanga-Ndoki,Dzanga-Ndoki,Parc National,National Park,National,II,Designated,1990,Not Reported,21,23,Ndoki-Likouala,Congo,WCS areas of work,Central Africa,Africa,0
9557,32788,32788,1,Mlele GCA,Mlele GCA,Game controlled area,Game controlled area,National,VI,Designated,1974,Federal or national ministry or agency,59,86,Ruaha-Katavi,Tanzania,,East Africa and West Indian Ocean,Africa,1231
10698,36919,36919,1,Afi River,Afi River,Forest Reserve,Forest Reserve,National,Not Reported,Designated,0,Sub-national ministry or agency,31,33,Cross River,"Nigeria, Cameroon",WCS areas of work,Central Africa,Africa,310
10783,37010,37010,1,Cross River South,Cross River South,Forest Reserve,Forest Reserve,National,Not Reported,Designated,0,Sub-national ministry or agency,32,34,Takamanda,Nigeria,WCS areas of work,Central Africa,Africa,6
10785,37013,37013,1,Oban Group,Oban Group,Forest Reserve,Forest Reserve,National,Not Reported,Designated,0,Sub-national ministry or agency,32,34,Takamanda,Nigeria,WCS areas of work,Central Africa,Africa,656
10786,37014,37014,1,Ekinta River,Ekinta River,Forest Reserve,Forest Reserve,National,Not Reported,Designated,0,Sub-national ministry or agency,32,34,Takamanda,Nigeria,WCS areas of work,Central Africa,Africa,23
10814,37043,37043,1,Okapis,Okapis,R_¨serve de Faune,Wildlife Reserve,National,II,Designated,1992,Not Reported,18,20,Ituri,DRC,WCS areas of work,Central Africa,Africa,0
11036,40027,40027,1,Kalinzu,Kalinzu,Forest Reserve,Forest Reserve,National,Not Reported,Designated,1932,Federal or national ministry or agency,108,0,,,,,Africa,106
11284,40361,40361,1,Bwambara,Bwambara,Forest Reserve,Forest Reserve,National,Not Reported,Designated,1968,Federal or national ministry or agency,108,0,,,,,Africa,0
11290,40369,40369,1,Rushaya,Rushaya,Forest Reserve,Forest Reserve,National,Not Reported,Designated,1998,Federal or national ministry or agency,108,0,,,,,Africa,0
13705,67931,67931,1,Wongha-Wongh_¨,Wongha-Wongh_¨,"Site Ramsar, Zone Humide dï‚…Importance Internationale","Ramsar Site, Wetland of International Importance",International,Not Reported,Designated,1986,Not Reported,47,62,Gabon,Gabon,Policy,Central Africa,Africa,225
13706,67932,67932,1,Petit Loango,Petit Loango,"Site Ramsar, Zone Humide dï‚…Importance Internationale","Ramsar Site, Wetland of International Importance",International,Not Reported,Designated,1986,Not Reported,47,62,Gabon,Gabon,Policy,Central Africa,Africa,4
13707,67933,67933,1,Sett_¨ Cama,Sett_¨ Cama,"Site Ramsar, Zone Humide dï‚…Importance Internationale","Ramsar Site, Wetland of International Importance",International,Not Reported,Designated,1986,Not Reported,47,62,Gabon,Gabon,Policy,Central Africa,Africa,6
14203,72320,72320,1,Akanda,Akanda,Parc National,National Park,National,Not Reported,Designated,2002,Federal or national ministry or agency,47,62,Gabon,Gabon,Policy,Central Africa,Africa,173
14204,72324,72324,1,Minkebe,Minkebe,Parc National,National Park,National,Not Reported,Designated,2002,Federal or national ministry or agency,47,62,Gabon,Gabon,Policy,Central Africa,Africa,7520
14205,72332,72332,1,Nouabal_¨-Ndoki,Nouabal_¨-Ndoki,Parc National,National Park,National,II,Designated,1993,Collaborative governance,21,23,Ndoki-Likouala,Congo,WCS areas of work,Central Africa,Africa,4081
18884,109018,109018,1,Conkouati-Douli,Conkouati-Douli,"Site Ramsar, Zone Humide dï‚…Importance Internationale","Ramsar Site, Wetland of International Importance",International,Not Reported,Designated,2007,Not Reported,47,62,Gabon,Gabon,Policy,Central Africa,Africa,0
18885,109019,109019,1,Grands affluents,Grands affluents,"Site Ramsar, Zone Humide dï‚…Importance Internationale","Ramsar Site, Wetland of International Importance",International,Not Reported,Designated,2007,Not Reported,21,23,Ndoki-Likouala,Congo,WCS areas of work,Central Africa,Africa,11725
18898,109034,109034,1,Bas Ogooue,Bas Ogooue,"Site Ramsar, Zone Humide dï‚…Importance Internationale","Ramsar Site, Wetland of International Importance",International,Not Reported,Designated,2009,Not Reported,47,62,Gabon,Gabon,Policy,Central Africa,Africa,13611
18899,109035,109035,1,Chutes et Rapides sur Ivindo,Chutes et Rapides sur Ivindo,"Site Ramsar, Zone Humide dï‚…Importance Internationale","Ramsar Site, Wetland of International Importance",International,Not Reported,Designated,2009,Not Reported,47,62,Gabon,Gabon,Policy,Central Africa,Africa,632
18900,109036,109036,1,Rapides de Mboungou Badouma et de Doume,Rapides de Mboungou Badouma et de Doume,"Site Ramsar, Zone Humide dï‚…Importance Internationale","Ramsar Site, Wetland of International Importance",International,Not Reported,Designated,2009,Not Reported,47,62,Gabon,Gabon,Policy,Central Africa,Africa,539
19725,124389,124389,1,Okapis Wildlife Reserve,R_¨serve de faune _‡ okapis,Site du Patrimoine Mondial (naturel ou mixte),World Heritage Site (natural or mixed),International,Not Applicable,Inscribed,1996,Not Reported,18,20,Ituri,DRC,WCS areas of work,Central Africa,Africa,0
40089,166739,166739,1,Lac T_¨l_¨/Likouala-aux-Herbes,Lac T_¨l_¨/Likouala-aux-Herbes,"Site Ramsar, Zone Humide dï‚…Importance Internationale","Ramsar Site, Wetland of International Importance",International,Not Reported,Designated,1998,Not Reported,21,23,Ndoki-Likouala,Congo,WCS areas of work,Central Africa,Africa,12
40107,166788,166788,1,Monts Doudou,Monts Doudou,Zone de Gestion de la Faune,Wildlife Management Area,National,Not Reported,Designated,1998,Not Reported,47,62,Gabon,Gabon,Policy,Central Africa,Africa,23
56471,220068,220068,1,Malagarasi-Muyovozi Wetlands,Malagarasi-Muyovozi Wetlands,"Ramsar Site, Wetland of International Importance","Ramsar Site, Wetland of International Importance",International,Not Reported,Designated,2000,Not Reported,59,86,Ruaha-Katavi,Tanzania,,East Africa and West Indian Ocean,Africa,3000
56944,301498,301498,1,Nyahua Mbuga,Nyahua Mbuga,Forest Reserve,Forest Reserve,National,Not Reported,Designated,1954,Federal or national ministry or agency,59,86,Ruaha-Katavi,Tanzania,,East Africa and West Indian Ocean,Africa,3119
56953,301516,301516,1,Ugunda,Ugunda,Forest Reserve,Forest Reserve,National,Not Reported,Designated,1957,Federal or national ministry or agency,59,86,Ruaha-Katavi,Tanzania,,East Africa and West Indian Ocean,Africa,2
56955,301519,301519,1,Ugalla River,Ugalla River,Forest Reserve,Forest Reserve,National,Not Reported,Designated,1958,Federal or national ministry or agency,59,86,Ruaha-Katavi,Tanzania,,East Africa and West Indian Ocean,Africa,750
56959,301523,301523,1,Mpembampazi,Mpembapazi,Forest Reserve,Forest Reserve,National,Not Reported,Designated,1955,Federal or national ministry or agency,59,86,Ruaha-Katavi,Tanzania,,East Africa and West Indian Ocean,Africa,1340
56969,301543,301543,1,Nyonga,Nyonga,Forest Reserve,Forest Reserve,National,Not Reported,Designated,1954,Federal or national ministry or agency,59,86,Ruaha-Katavi,Tanzania,,East Africa and West Indian Ocean,Africa,5037
56978,301552,301552,1,Rukwa,Rukwa,Forest Reserve,Forest Reserve,National,Not Reported,Designated,1961,Federal or national ministry or agency,59,86,Ruaha-Katavi,Tanzania,,East Africa and West Indian Ocean,Africa,114
56992,301582,301582,1,Muipa,Muipa,Forest Reserve,Forest Reserve,National,Not Reported,Designated,1958,Federal or national ministry or agency,59,86,Ruaha-Katavi,Tanzania,,East Africa and West Indian Ocean,Africa,1196
56996,301589,301589,1,Lukwati,Lukwati,Forest Reserve,Forest Reserve,National,Not Reported,Designated,1958,Federal or national ministry or agency,59,86,Ruaha-Katavi,Tanzania,,East Africa and West Indian Ocean,Africa,136
57000,301594,301594,1,Kipembawe,Kipembawe,Forest Reserve,Forest Reserve,National,Not Reported,Designated,1941,Federal or national ministry or agency,59,86,Ruaha-Katavi,Tanzania,,East Africa and West Indian Ocean,Africa,30
57007,301614,301614,1,Kalangai,Kalangai,Forest Reserve,Forest Reserve,National,Not Reported,Designated,0,Local communities,59,86,Ruaha-Katavi,Tanzania,,East Africa and West Indian Ocean,Africa,24
57009,301617,301617,1,Lupa North,Lupa North,Forest Reserve,Forest Reserve,National,Not Reported,Designated,1941,Federal or national ministry or agency,59,86,Ruaha-Katavi,Tanzania,,East Africa and West Indian Ocean,Africa,20
57173,301850,301850,1,Mayumba,Mayumba,Parc National,National Park,National,Not Reported,Designated,2002,Federal or national ministry or agency,47,62,Gabon,Gabon,Policy,Central Africa,Africa,14
57680,303338,303338,1,Muhesi G.R (W),Muhesi G.R (W),Game Reserve,Game Reserve,National,Not Reported,Designated,0,Federal or national ministry or agency,59,86,Ruaha-Katavi,Tanzania,,East Africa and West Indian Ocean,Africa,1108
57681,303339,303339,1,Lunda Nkwambi GCA,Lunda Nkwambi GCA,Game controlled area,Game controlled area,National,Not Reported,Designated,0,Federal or national ministry or agency,59,86,Ruaha-Katavi,Tanzania,,East Africa and West Indian Ocean,Africa,4
57766,303490,303490,1,Ngogwa,Ngogwa,Forest Reserve,Forest Reserve,National,Not Reported,Designated,1950,Federal or national ministry or agency,59,86,Ruaha-Katavi,Tanzania,,East Africa and West Indian Ocean,Africa,37
57951,303872,303872,1,Monts Birougou,Monts Birougou,Parc National,National Park,National,Not Reported,Designated,2002,Federal or national ministry or agency,47,62,Gabon,Gabon,Policy,Central Africa,Africa,684
57952,303873,303873,1,Ivindo,Ivindo,Parc National,National Park,National,Not Reported,Designated,2002,Federal or national ministry or agency,47,62,Gabon,Gabon,Policy,Central Africa,Africa,2572
57953,303874,303874,1,Loango,Loango,Parc National,National Park,National,Not Reported,Designated,2002,Federal or national ministry or agency,47,62,Gabon,Gabon,Policy,Central Africa,Africa,4
57954,303875,303875,1,Lop_¨,Lop_¨,Parc National,National Park,National,Not Reported,Designated,2002,Federal or national ministry or agency,47,62,Gabon,Gabon,Policy,Central Africa,Africa,4945
57955,303877,303877,1,Moukalaba-Doudou,Moukalaba-Doudou,Parc National,National Park,National,Not Reported,Designated,2002,Federal or national ministry or agency,47,62,Gabon,Gabon,Policy,Central Africa,Africa,885
57956,303878,303878,1,Mwagn_¨,Mwagn_¨,Parc National,National Park,National,Not Reported,Designated,2002,Federal or national ministry or agency,47,62,Gabon,Gabon,Policy,Central Africa,Africa,1163
57957,303879,303879,1,Pongara,Pongara,Parc National,National Park,National,Not Reported,Designated,2002,Federal or national ministry or agency,47,62,Gabon,Gabon,Policy,Central Africa,Africa,787
57958,303880,303880,1,Waka,Waka,Parc National,National Park,National,Not Reported,Designated,2002,Federal or national ministry or agency,47,62,Gabon,Gabon,Policy,Central Africa,Africa,1062
59696,306235,306235,1,Plateaux Bat_¨k_¨,Plateaux Bat_¨k_¨,Parc National,National Park,National,Not Reported,Designated,2002,Federal or national ministry or agency,47,62,Gabon,Gabon,Policy,Central Africa,Africa,1801
59697,306237,306237,1,Monts de Cristal,Monts de Cristal,Parc National,National Park,National,Not Reported,Designated,2002,Federal or national ministry or agency,47,62,Gabon,Gabon,Policy,Central Africa,Africa,1187
61002,308636,308636,1,Mengame,Mengame,Sanctuaire de Faune,Wildlife Sanctuary,National,IV,Designated,2008,Federal or national ministry or agency,47,62,Gabon,Gabon,Policy,Central Africa,Africa,6
63408,313401,313401,1,Conkouati-Douli,Conkouati-Douli,Parc National,National Park,National,II,Designated,1999,Federal or national ministry or agency,47,62,Gabon,Gabon,Policy,Central Africa,Africa,0
63442,313494,313494,1,Lac T_¨l_¨,Lac T_¨l_¨,R_¨serve Communautaire,Community Reserve,National,VI,Designated,2001,Federal or national ministry or agency,21,23,Ndoki-Likouala,Congo,WCS areas of work,Central Africa,Africa,5
64766,315408,315408,1,North Maramagambo,North Maramagambo,Forest Reserve,Forest Reserve,National,Not Reported,Designated,1932,Federal or national ministry or agency,108,0,,,,,Africa,5
65005,317282,317282,1,South Maramagambo,South Maramagambo,Forest Reserve,Forest Reserve,National,Not Reported,Designated,1932,Federal or national ministry or agency,108,0,,,,,Africa,9
81515,354002,354002,1,Mbe Mountains,Mbe Mountains,Community Forest,Community Forest,National,Not Reported,Designated,0,Local communities,31,33,Cross River,"Nigeria, Cameroon",WCS areas of work,Central Africa,Africa,86
81516,354003,354003,1,Afi Mountain,Afi Mountain,Wildlife Sanctuary,Wildlife Sanctuary,National,Not Reported,Designated,0,Sub-national ministry or agency,31,33,Cross River,"Nigeria, Cameroon",WCS areas of work,Central Africa,Africa,104
81517,354004,354004,1,Kagwene,Kagwene,Sanctuaire de Faune,Wildlife Sanctuary,National,IV,Designated,2008,Federal or national ministry or agency,31,33,Cross River,"Nigeria, Cameroon",WCS areas of work,Central Africa,Africa,19
420,643,643,1,Odzala Kokoua,Odzala Kokoua,Parc National,National Park,National,II,Designated,1935,Collaborative governance,47,62,Gabon,Gabon,Policy,Central Africa,Africa,227
2718,7425,7425,1,Parc national d'Odzala,Parc national d'Odzala,UNESCO-MAB R_¨serve de Biosph_Àre,UNESCO-MAB Biosphere Reserve,International,Not Applicable,Designated,1977,Not Reported,47,62,Gabon,Gabon,Policy,Central Africa,Africa,227
436,666,666,1,Wonga-Wongu_¨,Wonga-Wongu_¨,R_¨serve Presidentielle,Presidential Reserve,National,Not Reported,Designated,1976,Federal or national ministry or agency,47,62,Gabon,Gabon,Policy,Central Africa,Africa,3551
13705,67931,67931,1,Wongha-Wongh_¨,Wongha-Wongh_¨,"Site Ramsar, Zone Humide dï‚…Importance Internationale","Ramsar Site, Wetland of International Importance",International,Not Reported,Designated,1986,Not Reported,47,62,Gabon,Gabon,Policy,Central Africa,Africa,3551
436,666,666,1,Wonga-Wongu_¨,Wonga-Wongu_¨,R_¨serve Presidentielle,Presidential Reserve,National,Not Reported,Designated,1976,Federal or national ministry or agency,47,62,Gabon,Gabon,Policy,Central Africa,Africa,0
18898,109034,109034,1,Bas Ogooue,Bas Ogooue,"Site Ramsar, Zone Humide dï‚…Importance Internationale","Ramsar Site, Wetland of International Importance",International,Not Reported,Designated,2009,Not Reported,47,62,Gabon,Gabon,Policy,Central Africa,Africa,0
631,917,917,1,Ruaha National Park,Ruaha National Park,National Park,National Park,National,II,Designated,1964,Federal or national ministry or agency,59,86,Ruaha-Katavi,Tanzania,,East Africa and West Indian Ocean,Africa,1
57681,303339,303339,1,Lunda Nkwambi GCA,Lunda Nkwambi GCA,Game controlled area,Game controlled area,National,Not Reported,Designated,0,Federal or national ministry or agency,59,86,Ruaha-Katavi,Tanzania,,East Africa and West Indian Ocean,Africa,1
657,957,957,1,Queen Elizabeth,Queen Elizabeth,National Park,National Park,National,II,Designated,1952,Federal or national ministry or agency,108,0,,,,,Africa,258
1483,3051,3051,1,Queen Elizabeth National Park,Queen Elizabeth National Park,UNESCO-MAB Biosphere Reserve,UNESCO-MAB Biosphere Reserve,International,Not Applicable,Designated,1979,Not Reported,108,0,,,,,Africa,258
657,957,957,1,Queen Elizabeth,Queen Elizabeth,National Park,National Park,National,II,Designated,1952,Federal or national ministry or agency,108,0,,,,,Africa,0
11036,40027,40027,1,Kalinzu,Kalinzu,Forest Reserve,Forest Reserve,National,Not Reported,Designated,1932,Federal or national ministry or agency,108,0,,,,,Africa,0
657,957,957,1,Queen Elizabeth,Queen Elizabeth,National Park,National Park,National,II,Designated,1952,Federal or national ministry or agency,108,0,,,,,Africa,0
64766,315408,315408,1,North Maramagambo,North Maramagambo,Forest Reserve,Forest Reserve,National,Not Reported,Designated,1932,Federal or national ministry or agency,108,0,,,,,Africa,0
734,1082,1082,1,Kahuzi-Biega,Kahuzi-Biega,Parc National,National Park,National,II,Designated,1970,Not Reported,15,17,Kahuzi-Biega,DRC,WCS areas of work,Central Africa,Africa,6514
1894,4328,4328,1,Kahuzi-Biega National Park,Parc national de Kahuzi-Biega,Site du Patrimoine Mondial (naturel ou mixte),World Heritage Site (natural or mixed),International,Not Applicable,Inscribed,1980,Not Reported,15,17,Kahuzi-Biega,DRC,WCS areas of work,Central Africa,Africa,6514
734,1082,1082,1,Kahuzi-Biega,Kahuzi-Biega,Parc National,National Park,National,II,Designated,1970,Not Reported,15,17,Kahuzi-Biega,DRC,WCS areas of work,Central Africa,Africa,39
734,1082,1082,1,Kahuzi-Biega,Kahuzi-Biega,Parc National,National Park,National,II,Designated,1970,Not Reported,17,19,Oku Reserve,DRC,WCS areas of work,Central Africa,Africa,39
920,1443,1443,1,Kigezi,Kigezi,Wildlife Reserve,Wildlife Reserve,National,III,Designated,1952,Federal or national ministry or agency,108,0,,,,,Africa,102
1483,3051,3051,1,Queen Elizabeth National Park,Queen Elizabeth National Park,UNESCO-MAB Biosphere Reserve,UNESCO-MAB Biosphere Reserve,International,Not Applicable,Designated,1979,Not Reported,108,0,,,,,Africa,102
920,1443,1443,1,Kigezi,Kigezi,Wildlife Reserve,Wildlife Reserve,National,III,Designated,1952,Federal or national ministry or agency,108,0,,,,,Africa,0
64766,315408,315408,1,North Maramagambo,North Maramagambo,Forest Reserve,Forest Reserve,National,Not Reported,Designated,1932,Federal or national ministry or agency,108,0,,,,,Africa,0
920,1443,1443,1,Kigezi,Kigezi,Wildlife Reserve,Wildlife Reserve,National,III,Designated,1952,Federal or national ministry or agency,108,0,,,,,Africa,0
65005,317282,317282,1,South Maramagambo,South Maramagambo,Forest Reserve,Forest Reserve,National,Not Reported,Designated,1932,Federal or national ministry or agency,108,0,,,,,Africa,0
1483,3051,3051,1,Queen Elizabeth National Park,Queen Elizabeth National Park,UNESCO-MAB Biosphere Reserve,UNESCO-MAB Biosphere Reserve,International,Not Applicable,Designated,1979,Not Reported,108,0,,,,,Africa,0
11036,40027,40027,1,Kalinzu,Kalinzu,Forest Reserve,Forest Reserve,National,Not Reported,Designated,1932,Federal or national ministry or agency,108,0,,,,,Africa,0
1483,3051,3051,1,Queen Elizabeth National Park,Queen Elizabeth National Park,UNESCO-MAB Biosphere Reserve,UNESCO-MAB Biosphere Reserve,International,Not Applicable,Designated,1979,Not Reported,108,0,,,,,Africa,0
64766,315408,315408,1,North Maramagambo,North Maramagambo,Forest Reserve,Forest Reserve,National,Not Reported,Designated,1932,Federal or national ministry or agency,108,0,,,,,Africa,0
1483,3051,3051,1,Queen Elizabeth National Park,Queen Elizabeth National Park,UNESCO-MAB Biosphere Reserve,UNESCO-MAB Biosphere Reserve,International,Not Applicable,Designated,1979,Not Reported,108,0,,,,,Africa,0
65005,317282,317282,1,South Maramagambo,South Maramagambo,Forest Reserve,Forest Reserve,National,Not Reported,Designated,1932,Federal or national ministry or agency,108,0,,,,,Africa,0
