FID_Global,OBJECTID,SITRECID,REGION,COUNTRY,ISO3,NATNAME,INTNAME,FINCODE,SITLAT,SITLONG,IBASTATUS,KBASTATUS,AZESTATUS,SITAREA,PROTECT,NO_PA,SOURCE,DELTXT,DELGEOM,CREATEDBY,ADDEDBY,ADDEDDATE,CHANGEBY,CHANGEDATE,TRIGGERS,FID_strong,OBJECTID_1,SCAPENAME,PROGRAM,COUNTRY_1,Name,Reason,sq_km
9258,0,6574,Africa,Madagascar,MDG,Zones humides de Torotorofotsy,Torotorofotsy Wetlands,MG053,-18.8599567213,48.3582931082,confirmed,confirmed,,6526,whole,1,"Protected area from the Ministry of Forestry, 2010",existing protected area boundary,3. draft polygon,CEPF Hotspot Profile,,03/17/16,,,"CR/EN, VU, endemic, other",41,65,Madagascar Rainforest,,Madagascar,Madagascar," We work in Makira, Masoala is an expansion site. Others work in rest of stronghold.",37
9259,0,45363,Africa,Madagascar,MDG,Mandraka,Mandraka,,-18.8697368556,47.9435300643,,confirmed,,3559,little/none,0,"ESSA For├¬ts, Protected area from the Ministry of Forestry, 2010",existing protected area boundary,3. draft polygon,CEPF Hotspot Profile,,03/17/16,,,"CR/EN, endemic",41,65,Madagascar Rainforest,,Madagascar,Madagascar," We work in Makira, Masoala is an expansion site. Others work in rest of stronghold.",36
9265,0,45367,Africa,Madagascar,MDG,NAP Ambohidray,Ambohidray NPA,,-18.5700551609,48.3831951525,,confirmed,,2330,little/none,0,"ACCE, Protected area from the Ministry of Forestry, 2010",existing protected area boundary,3. draft polygon,CEPF Hotspot Profile,,03/17/16,,,"CR/EN, VU, endemic",41,65,Madagascar Rainforest,,Madagascar,Madagascar," We work in Makira, Masoala is an expansion site. Others work in rest of stronghold.",18
9268,0,45369,Africa,Madagascar,MDG,NAP Ampananganandehibe-Beasina (Andilanatoby),Ampananganandehibe-Beasina (Andilanatoby) NPA,,-18.1018337416,48.3190587986,,confirmed,,710,little/none,1,"MAVOA, Protected area from the Ministry of Forestry, 2010",existing protected area boundary,3. draft polygon,CEPF Hotspot Profile,,03/17/16,,,"VU, endemic",41,65,Madagascar Rainforest,,Madagascar,Madagascar," We work in Makira, Masoala is an expansion site. Others work in rest of stronghold.",7
9270,0,22428,Africa,Madagascar,MDG,NAP Ampasindava - Baie de Rigny (Est),Ampasindava - Rigny Bay (East) NPA,,-13.6824304782,48.2010412806,,confirmed,confirmed,162611,little/none,0,"SAGE, Protected area from the Ministry of Forestry, 2010",existing protected area boundary,3. draft polygon,CEPF Hotspot Profile,,03/17/16,,,"CR/EN, VU",41,65,Madagascar Rainforest,,Madagascar,Madagascar," We work in Makira, Masoala is an expansion site. Others work in rest of stronghold.",102
9271,0,45370,Africa,Madagascar,MDG,NAP Anadabolava-Betsimalaho (Anosy),Anadabolava-Betsimalaho (Anosy) NPA,,-24.2851835504,46.2180973937,,confirmed,,25704,little/none,0,"MBG, Protected area from the Ministry of Forestry, 2010",existing protected area boundary,3. draft polygon,CEPF Hotspot Profile,,03/17/16,,,"CR/EN, VU, endemic",41,65,Madagascar Rainforest,,Madagascar,Madagascar," We work in Makira, Masoala is an expansion site. Others work in rest of stronghold.",74
9272,0,45371,Africa,Madagascar,MDG,NAP Analalava-Analabe-Betanantanana (Ambatosoratra),Analalava-Analabe-Betanantanana (Ambatosoratra) NPA,,-17.5983575598,48.6295666254,,confirmed,,865,little/none,1,"MAVOA, Protected area from the Ministry of Forestry, 2010",existing protected area boundary,3. draft polygon,CEPF Hotspot Profile,,03/17/16,,,"VU, endemic",41,65,Madagascar Rainforest,,Madagascar,Madagascar," We work in Makira, Masoala is an expansion site. Others work in rest of stronghold.",9
9275,0,45373,Africa,Madagascar,MDG,NAP Andreba,Andreba NPA,,-15.9397156325,49.7068756349,,confirmed,,29,little/none,0,"WCS, Protected area from the Ministry of Forestry, 2007",existing protected area boundary,3. draft polygon,CEPF Hotspot Profile,,03/17/16,,,"CR/EN, endemic",41,65,Madagascar Rainforest,,Madagascar,Madagascar," We work in Makira, Masoala is an expansion site. Others work in rest of stronghold.",0
9295,0,22507,Africa,Madagascar,MDG,NAP For├¬t Class├®e de Zafimaniry,Zafimaniry Classified Forest NPA,,-20.6881825519,47.4423763664,,confirmed,,2363,little/none,0,"CI, Protected area from the Ministry of Forestry, 2006",existing protected area boundary,3. draft polygon,CEPF Hotspot Profile,,03/17/16,,,"CR/EN, VU, endemic",41,65,Madagascar Rainforest,,Madagascar,Madagascar," We work in Makira, Masoala is an expansion site. Others work in rest of stronghold.",0
9301,0,45389,Africa,Madagascar,MDG,NAP Mangabe-Ranomena-Sasarotra,Mangabe-Ranomena-Sasarotra NPA,,-19.1296514545,48.1558273796,,confirmed,,26813,little/none,0,"MAVOA, Protected area from the Ministry of Forestry, 2010",existing protected area boundary,3. draft polygon,CEPF Hotspot Profile,,03/17/16,,,"CR/EN, endemic",41,65,Madagascar Rainforest,,Madagascar,Madagascar," We work in Makira, Masoala is an expansion site. Others work in rest of stronghold.",262
9309,0,22514,Africa,Madagascar,MDG,NAP Zone Humide de Nosivolo,Nosivolo wetland NPA,,-20.1131263485,48.089933392,,confirmed,confirmed,6891,whole,1,"DURRELL, Protected area from the Ministry of Forestry, 2010",existing protected area boundary,3. draft polygon,CEPF Hotspot Profile,,03/17/16,,,"CR/EN, VU, endemic, migratory birds/congregations",41,65,Madagascar Rainforest,,Madagascar,Madagascar," We work in Makira, Masoala is an expansion site. Others work in rest of stronghold.",8
9311,0,22451,Africa,Madagascar,MDG,Parc National de Masoala - Parcelle II,Masoala National Park - Section II,,-15.5899559741,50.2897178378,,confirmed,,67736,little/none,0,"MNP, Protected area from the Ministry of Forestry, 2010",existing protected area boundary,3. draft polygon,CEPF Hotspot Profile,,03/17/16,,,"CR/EN, VU, endemic",41,65,Madagascar Rainforest,,Madagascar,Madagascar," We work in Makira, Masoala is an expansion site. Others work in rest of stronghold.",667
9312,0,22505,Africa,Madagascar,MDG,Parc National de Masoala - Parcelle III,Masoala National Park - Section III,,-15.528431882,49.9379352009,,confirmed,,10743,little/none,0,"MNP, Protected area from the Ministry of Forestry, 2010",existing protected area boundary,3. draft polygon,CEPF Hotspot Profile,,03/17/16,,,"CR/EN, VU, endemic",41,65,Madagascar Rainforest,,Madagascar,Madagascar," We work in Makira, Masoala is an expansion site. Others work in rest of stronghold.",107
9314,0,45393,Africa,Madagascar,MDG,R├®serve Communautaire d'Anja,Anja Community Reserve,,-21.7278006728,47.0503555026,,confirmed,,5026,little/none,0,"VOI, Protected area from the Ministry of Forestry, 2010",existing protected area boundary,3. draft polygon,CEPF Hotspot Profile,,03/17/16,,,"CR/EN, endemic",41,65,Madagascar Rainforest,,Madagascar,Madagascar," We work in Makira, Masoala is an expansion site. Others work in rest of stronghold.",50
9316,0,6575,Africa,Madagascar,MDG,Parc National de Mantadia et R├®serve Sp├®ciale d'Analamazaotra,Mantadia National Park and Analamazaotra Special Reserve,MG054,-18.8146141985,48.4711957838,confirmed,confirmed,,16343,whole,2,"MNP, Protected area from the Ministry of Forestry, 2010",existing protected area boundary,3. draft polygon,CEPF Hotspot Profile,,03/17/16,,,"CR/EN, VU, endemic, other",41,65,Madagascar Rainforest,,Madagascar,Madagascar," We work in Makira, Masoala is an expansion site. Others work in rest of stronghold.",127
9317,0,6605,Africa,Madagascar,MDG,Parc National de Midongy-Sud,Midongy South National Park,MG084,-23.6220019336,47.0010068109,confirmed,confirmed,,167072,whole,1,"MNP, Protected area from the Ministry of Forestry, 2010",existing protected area boundary,3. draft polygon,CEPF Hotspot Profile,,03/17/16,,,"CR/EN, VU, endemic, other",41,65,Madagascar Rainforest,,Madagascar,Madagascar," We work in Makira, Masoala is an expansion site. Others work in rest of stronghold.",1671
9321,0,6568,Africa,Madagascar,MDG,Parc National et R├®serve Naturelle Int├®grale de Zahamena,Zahamena National Park and Strict Reserve,MG047,-17.6521713402,48.8141396026,confirmed,confirmed,,63899,whole,2,"MNP, Protected area from the Ministry of Forestry, 2010",existing protected area boundary,3. draft polygon,CEPF Hotspot Profile,,03/17/16,,,"CR/EN, VU, endemic, other",41,65,Madagascar Rainforest,,Madagascar,Madagascar," We work in Makira, Masoala is an expansion site. Others work in rest of stronghold.",590
9326,0,22487,Africa,Madagascar,MDG,R├®serve Sp├®ciale du Pic d'Ivohibe,Pic d'Ivohibe Special Reserve,,-22.5073015347,46.9687099781,,confirmed,,3636,whole,1,"MNP, Protected area from the Ministry of Forestry, 2010",existing protected area boundary,3. draft polygon,CEPF Hotspot Profile,,03/17/16,,,"CR/EN, VU, endemic",41,65,Madagascar Rainforest,,Madagascar,Madagascar," We work in Makira, Masoala is an expansion site. Others work in rest of stronghold.",36
9327,0,6564,Africa,Madagascar,MDG,R├®serve Sp├®ciale d'Ambatovaky,Ambatovaky Special Reserve,MG043,-16.7327378677,49.2414237287,confirmed,confirmed,,24866,whole,1,"MNP, Protected area from the Ministry of Forestry, 2010",existing protected area boundary,3. draft polygon,CEPF Hotspot Profile,,03/17/16,,,"CR/EN, VU, endemic, other",41,65,Madagascar Rainforest,,Madagascar,Madagascar," We work in Makira, Masoala is an expansion site. Others work in rest of stronghold.",249
9329,0,6536,Africa,Madagascar,MDG,R├®serve Sp├®ciale d'Anjanaharibe-Sud et extension,South Anjanaharibe Special Reserve and extension,MG015,-14.7003569303,49.470789185,confirmed,confirmed,confirmed,56229,most,1,"MNP, Protected area from the Ministry of Forestry, 2010. IBA Process (2001) aand CEPF Profile (2014)","Delineated from protected area, IBA provided by partner and AZE trigger species range (Calmumma Venceci).",3. draft polygon,CEPF Hotspot Profile,,03/17/16,,,"CR/EN, VU, endemic, other",41,65,Madagascar Rainforest,,Madagascar,Madagascar," We work in Makira, Masoala is an expansion site. Others work in rest of stronghold.",309
9337,0,22472,Africa,Madagascar,MDG,Rivi├¿re Sud de Mananara,Mananara South River,,-22.6512393961,47.0574917524,,confirmed,,1563,little/none,0,"CI, Protected area from the Ministry of Forestry, 2006",existing protected area boundary,3. draft polygon,CEPF Hotspot Profile,,03/17/16,,,"CR/EN, endemic",41,65,Madagascar Rainforest,,Madagascar,Madagascar," We work in Makira, Masoala is an expansion site. Others work in rest of stronghold.",3
9338,0,22474,Africa,Madagascar,MDG,Rivi├¿res Mangoro et Rianala,Mangoro-Rianila Rivers,,-18.811656969,48.8559362425,,confirmed,,15796,little/none,0,"CI, Protected area from the Ministry of Forestry, 2005",existing protected area boundary,3. draft polygon,CEPF Hotspot Profile,,03/17/16,,,"CR/EN, VU, endemic",41,65,Madagascar Rainforest,,Madagascar,Madagascar," We work in Makira, Masoala is an expansion site. Others work in rest of stronghold.",23
10477,0,7029,Africa,Tanzania,TZA,Udzungwa Mountains,Udzungwa Mountains,TZ066,-8.1772462952,35.9190738593,confirmed,superseded,,333214,whole,25,"Conservation International, Shapefile: E_Arc_KBA_poly_20070918.shp",Boundaries reinstated from orginal IBA Directory by Gill Bunting after KBA Profileing excercise,3. draft polygon,Partner,,06/09/08,,06/09/08,"CR/EN, VU, endemic, other",40,63,Niyassa-Selous,,Tanzania y Mozambique,Niassa-Selous,"WCS in Niassa, Others in Selous",0
10478,0,6974,Africa,Tanzania,TZA,Udzungwa National Park,Udzungwa National Park,TZ011,-7.7975597768,36.6649032082,confirmed,superseded,,208190,whole,2,"Conservation International, Shapefile: E_Arc_KBA_poly_20070918.shp",Boundaries reinstated from orginal IBA Directory by Gill Bunting after KBA Profileing excercise,3. draft polygon,Partner,,06/09/08,,,"CR/EN, VU, endemic, other",40,63,Niyassa-Selous,,Tanzania y Mozambique,Niassa-Selous,"WCS in Niassa, Others in Selous",0
11182,0,30038,Africa,Kenya,KEN,Kwenia,Kwenia,KE062,-1.766960167,36.5083557234,confirmed,,,3079,little/none,0,Provided by Fred Barasa Munyekenye of Nature Kenya in late 2017,Draft polygon,3. draft polygon,"Gill Bunting, BirdLife International",,01/15/18,,,"CR/EN, VU",38,61,Greater Serengeti,,Tanzania y Kenya,Serengeti-Mara,Others,31
13275,0,6120,Africa,Cameroon,CMR,Banyang Mbo Wildlife Sanctuary,Banyang Mbo Wildlife Sanctuary,CM017,5.334319014,9.6452596169,confirmed,confirmed,,69145,whole,1,RSPB funded initiative to create polygon boundaries for IBAs in Africa.,"Digitized from national and continental scale maps of protected areas, lakes and wetlands.",3. draft polygon,"Paul Britten, RSPB",,05/12/05,,07/10/15,"CR/EN, VU, endemic, other",5,6,Greater Cross River,Africa,"Cameroon, Nigeria",Cross River-Takamanda,,669
13277,0,6122,Africa,Cameroon,CMR,Korup National Park,Korup National Park,CM019,5.2175101401,8.9646207827,confirmed,confirmed,,129115,whole,1,RSPB funded initiative to create polygon boundaries for IBAs in Africa.,"Digitized from national and continental scale maps of protected areas, lakes and wetlands.",3. draft polygon,"Paul Britten, RSPB",,05/12/05,,07/10/15,"CR/EN, VU, endemic, other",5,6,Greater Cross River,Africa,"Cameroon, Nigeria",Cross River-Takamanda,,1288
13315,0,6734,Africa,Nigeria,NGA,Obudu Plateau,Obudu Plateau,NG001,6.535665081,9.4708056764,confirmed,confirmed,,70743,little/none,0,RSPB funded initiative to create polygon boundaries for IBAs in Africa.,"Digitized from national and continental scale maps of protected areas, lakes and wetlands.",3. draft polygon,"Paul Britten, RSPB",,05/12/05,,07/10/15,"CR/EN, VU, endemic, other",5,6,Greater Cross River,Africa,"Cameroon, Nigeria",Cross River-Takamanda,,82
13317,0,6738,Africa,Nigeria,NGA,Afi River Forest Reserve,Afi River Forest Reserve,NG005,6.3050627775,8.9432294496,confirmed,confirmed,,51975,most,2,RSPB funded initiative to create polygon boundaries for IBAs in Africa.,"Digitized from national and continental scale maps of protected areas, lakes and wetlands.",3. draft polygon,"Paul Britten, RSPB",,05/12/05,,07/10/15,"CR/EN, VU, endemic, other",5,6,Greater Cross River,Africa,"Cameroon, Nigeria",Cross River-Takamanda,,520
13319,0,6740,Africa,Nigeria,NGA,Cross River National Park (Oban Division),Cross River National Park (Oban Division),NG007,5.4918989194,8.6266823719,confirmed,confirmed,,268952,whole,5,RSPB funded initiative to create polygon boundaries for IBAs in Africa.,"Digitized from national and continental scale maps of protected areas, lakes and wetlands.",3. draft polygon,"Paul Britten, RSPB",,05/12/05,,07/10/15,"CR/EN, VU, endemic, other",5,6,Greater Cross River,Africa,"Cameroon, Nigeria",Cross River-Takamanda,,2661
13321,0,6743,Africa,Nigeria,NGA,Cross River National Park (Okwangwo Division) and Mbe Mountains,Cross River National Park (Okwangwo Division) and Mbe Mountains,NG010,6.3210498688,9.227701803,confirmed,confirmed,,95288,whole,4,RSPB funded initiative to create polygon boundaries for IBAs in Africa.,"Digitized from national and continental scale maps of protected areas, lakes and wetlands.",3. draft polygon,"Paul Britten, RSPB",,05/12/05,,07/10/15,"CR/EN, VU, endemic, other",5,6,Greater Cross River,Africa,"Cameroon, Nigeria",Cross River-Takamanda,,953
13418,0,6576,Africa,Madagascar,MDG,For├¬t Class├®e d'Ankeniheny,Ankeniheny Classified Forest,MG055,-19.151403662,48.3010222311,confirmed,,,32868,whole,1,Original IBA boundary provided by Partner,Boundary reinstated for 2018 IBA in Danger update,3. draft polygon,Partner,,04/17/18,,,"VU, endemic, other",41,65,Madagascar Rainforest,,Madagascar,Madagascar," We work in Makira, Masoala is an expansion site. Others work in rest of stronghold.",192
13419,0,6599,Africa,Madagascar,MDG,For├¬t de Zafimaniry,Zafimaniry Forest,MG078,-20.7134851751,47.4061551302,confirmed,,,15208,little/none,0,Original IBA boundary provided by Partner,Boundary reinstated for 2018 IBA in Danger update,3. draft polygon,Partner,,04/17/18,,,"endemic, other",41,65,Madagascar Rainforest,,Madagascar,Madagascar," We work in Makira, Masoala is an expansion site. Others work in rest of stronghold.",107
13573,0,46982,Africa,Rwanda,RWA,Mukungwa River Catchment,Mukungwa River Catchment,,-1.572580022,29.6716934899,,confirmed,,68288,little/none,0,IUCN Freshwater Biodiversity Unit,Digitized by IUCN Freshwater Biodiversity Unit,4. refined polygon,IUCN Freshwater Biodiversity Unit,,09/12/18,,,"CR/EN, endemic",0,1,Northern Albertine Rift,Africa,"DRC, Rwanda, Uganda",Greater Virunga,,68
13576,0,47002,Africa,Madagascar,MDG,Lower Anove,Lower Anove,,-16.6155455617,49.7128913087,,confirmed,,14385,little/none,0,"IUCN Freshwater Biodiversity Unit.  Maiz-Tome, L., Sayer, C. and Darwall, W. (eds) (2018) The Status and Distribution of Freshwater Biodiversity in Madagascar and the Indian Islands hotspot. Gland, Switzerland: IUCN. viii+128pp. 
",Digitized by IUCN Freshwater Biodiversity Unit,4. refined polygon,IUCN Freshwater Biodiversity Unit,,09/18/18,,,CR/EN,41,65,Madagascar Rainforest,,Madagascar,Madagascar," We work in Makira, Masoala is an expansion site. Others work in rest of stronghold.",0
13579,0,47003,Africa,Madagascar,MDG,Upper Mananara river,Upper Mananara river,,-23.035267317,47.1624951845,,confirmed,,149695,little/none,0,"IUCN Freshwater Biodiversity Unit.  Maiz-Tome, L., Sayer, C. and Darwall, W. (eds) (2018) The Status and Distribution of Freshwater Biodiversity in Madagascar and the Indian Islands hotspot. Gland, Switzerland: IUCN. viii+128pp.",Digitized by IUCN Freshwater Biodiversity Unit,4. refined polygon,IUCN Freshwater Biodiversity Unit,,09/18/18,,,CR/EN,41,65,Madagascar Rainforest,,Madagascar,Madagascar," We work in Makira, Masoala is an expansion site. Others work in rest of stronghold.",730
13616,0,6437,Africa,Kenya,KEN,Lake Magadi,Lake Magadi,KE047,-1.8662394398,36.2691380395,confirmed,,,11753,little/none,0,"BirdLife International SitMapGlobal, 15/02/2008",,3. draft polygon,,,06/09/08,,06/09/08,migratory birds/congregations,38,61,Greater Serengeti,,Tanzania y Kenya,Serengeti-Mara,Others,118
13819,0,6601,Africa,Madagascar,MDG,Parc National d'Andringitra,Andringitra National Park,MG080,-22.2291538059,46.9296279232,confirmed,confirmed,confirmed,32083,whole,2,"IUCN SSC Amphibian Specialist Group. 2016. Boophis laurenti. The IUCN Red List of Threatened Species 2016: e.T57408A84163015. http://dx.doi.org/10.2305/IUCN.UK.2016-1.RLTS.T57408A84163015.en. Downloaded on 24 February 2017.; Vences, M. & Glaw, F. 2008. *",No change from existing AZE,3. draft polygon,AZE (2018),,03/17/16,,,"CR/EN, VU, endemic, other",41,65,Madagascar Rainforest,,Madagascar,Madagascar," We work in Makira, Masoala is an expansion site. Others work in rest of stronghold.",300
13846,0,22478,Africa,Madagascar,MDG,Beampingaratsy (Anosy Mountains),Beampingaratsy (Anosy Mountains),,-24.2512258371,47.0335131895,,confirmed,confirmed,116069,little/none,0,"IUCN SSC Amphibian Specialist Group,. 2012. Anodonthyla rouxae. The IUCN Red List of Threatened Species 2012: e.T57677A3061680. http://dx.doi.org/10.2305/IUCN.UK.2012-1.RLTS.T57677A3061680.en. Downloaded on 23 February 2017.",No change from existing AZE,3. draft polygon,AZE (2018),,03/17/16,,,"CR/EN, VU",41,65,Madagascar Rainforest,,Madagascar,Madagascar," We work in Makira, Masoala is an expansion site. Others work in rest of stronghold.",790
13957,0,45384,Africa,Madagascar,MDG,NAP Corridor Forestier Fandriana-Marolambo (COFAM),Fandriana-Marolambo Forest Corridor NPA (COFAM),,-20.1870695536,47.7400075933,,confirmed,confirmed,194128,most,1,"Andriaholinirina, N., Baden, A., Blanco, M., Chikhi, L., Cooke, A., Davies, N., Dolch, R., Donati, G., Ganzhorn, J., Golden, C., Groeneveld, L.F., Hapke, A., Irwin, M., Johnson, S., Kappeler, P., King, T., Lewis, R., Louis, E.E., Markolf, M., Mass, V., *",Based on existing KBA,3. draft polygon,AZE (2018),,11/21/18,,,"CR/EN, VU",41,65,Madagascar Rainforest,,Madagascar,Madagascar," We work in Makira, Masoala is an expansion site. Others work in rest of stronghold.",1698
13960,0,22453,Africa,Madagascar,MDG,NAP Fierenana,Fierenana NPA,,-18.4620187777,48.3904080933,,confirmed,confirmed,7782,little/none,0,"Vences, M. & Nussbaum, R. 2008. Mantella milotympanum. The IUCN Red List of Threatened Species 2008: e.T57448A11641404. http://dx.doi.org/10.2305/IUCN.UK.2008.RLTS.T57448A11641404.en. Downloaded on 24 February 2017.; Vences, M., Raxworthy, C.J. & Glaw, *",No change from existing AZE,3. draft polygon,AZE (2018),,03/17/16,,,"CR/EN, VU",41,65,Madagascar Rainforest,,Madagascar,Madagascar," We work in Makira, Masoala is an expansion site. Others work in rest of stronghold.",62
13962,0,6578,Africa,Madagascar,MDG,Foret d'Anjozorobe,Anjozorobe Forest,MG057,-18.3615528544,47.9836591428,confirmed,confirmed,confirmed,51644,some,1,"Goodman, S. 2009. Voalavo antsahabensis. The IUCN Red List of Threatened Species 2009: e.T165925A6164250. http://dx.doi.org/10.2305/IUCN.UK.2009-2.RLTS.T165925A6164250.en. Downloaded on 27 December 2016.",Based on existing KBA,3. draft polygon,AZE (2018),,11/21/18,,11/21/18,"CR/EN, VU, endemic, other",41,65,Madagascar Rainforest,,Madagascar,Madagascar," We work in Makira, Masoala is an expansion site. Others work in rest of stronghold.",3
14012,0,6070,Africa,"Congo, The Democratic Republic of the",COD,Itombwe Mountains,Itombwe Mountains,CD014,-3.4915047166,28.4219768644,confirmed,confirmed,confirmed,820796,little/none,0,IUCN SSC Amphibian Specialist Group. 2015. Chrysobatrachus cupreonitens. The IUCN Red List of Threatened Species 2015: e.T56093A16937505. http://dx.doi.org/10.2305/IUCN.UK.2015-2.RLTS.T56093A16937505.en. Downloaded on 24 February 2017.; Arne Schi├©tz. 20,"No change from existing AZE. It is noted that a suggestion from BAPED (DRC government) to change the boundary based on the new ""R├®serve naturelle dÔÇÖItombwe"" boundary.",3. draft polygon,AZE (2018),,04/17/11,,06/15/11,"CR/EN, VU, endemic, other",10,11,Oku-Kahuzi-Kabobo,Africa,DRC,Eastern DRC,,8208
14020,0,6604,Africa,Madagascar,MDG,R├®serve Sp├®ciale de Kalambatritra,Kalambatritra Special Reserve,MG083,-23.3578858508,46.5003833771,confirmed,confirmed,confirmed,31242,whole,1,"Andriaholinirina, N., Baden, A., Blanco, M., Chikhi, L., Cooke, A., Davies, N., Dolch, R., Donati, G., Ganzhorn, J., Golden, C., Groeneveld, L.F., Hapke, A., Irwin, M., Johnson, S., Kappeler, P., King, T., Lewis, R., Louis, E.E., Markolf, M., Mass, V., *",Based on existing KBA,3. draft polygon,AZE (2018),,03/17/16,,11/21/18,"CR/EN, VU, endemic, other",41,65,Madagascar Rainforest,,Madagascar,Madagascar," We work in Makira, Masoala is an expansion site. Others work in rest of stronghold.",312
14031,0,29691,Africa,"Congo, The Democratic Republic of the",COD,Kokolopori,Kokolopori,,0.1873474893,23.0666253574,,confirmed,confirmed,375514,little/none,0,"Hart, J., Butynski, T.M. & Hurley, M. 2008. Cercopithecus dryas. The IUCN Red List of Threatened Species 2008: e.T4216A10645463. http://dx.doi.org/10.2305/IUCN.UK.2008.RLTS.T4216A10645463.en. Downloaded on 27 December 2016.",Existing AZE boundary was enlarged based on sketch map of Kokolopori Bonobo Reserve,3. draft polygon,AZE (2018),,07/18/13,,,CR/EN,4,5,Northwest DRC Rainforest,Africa,DRC,Maringa-Lopori,,3755
14047,0,6567,Africa,Madagascar,MDG,NAP Lac Alaotra,Lake Alaotra NPA,MG046,-17.5194481111,48.4741306269,confirmed,confirmed,confirmed,50879,whole,1,"Andriaholinirina, N., Baden, A., Blanco, M., Chikhi, L., Cooke, A., Davies, N., Dolch, R., Donati, G., Ganzhorn, J., Golden, C., Groeneveld, L.F., Hapke, A., Irwin, M., Johnson, S., Kappeler, P., King, T., Lewis, R., Louis, E.E., Markolf, M., Mass, V., *",No change from existing AZE,3. draft polygon,AZE (2018),,03/17/16,,,"CR/EN, VU, endemic, migratory birds/congregations, other",41,65,Madagascar Rainforest,,Madagascar,Madagascar," We work in Makira, Masoala is an expansion site. Others work in rest of stronghold.",248
14066,0,47125,Africa,Congo,COG,Lower Congo River right bank,Lower Congo River right bank,,-1.2062016123,16.4752955152,,confirmed,confirmed,1221071,most,2,"Oates, J.F. & Struhsaker, T. 2016. Piliocolobus bouvieri. The IUCN Red List of Threatened Species 2016: e.T18250A92654006. http://dx.doi.org/10.2305/IUCN.UK.2016-1.RLTS.T18250A92654006.en. Downloaded on 27 December 2016.",Extraction of relevant polygon from species range map,3. draft polygon,AZE (2018),,11/21/18,,,CR/EN,12,13,West Central Africa Rainforest,Africa,Multiple,Guineo-Congolian inland forests,,9304
14074,0,47057,Africa,Madagascar,MDG,Mahasoa forest,Mahasoa forest,,-17.3017463443,48.6960289224,,confirmed,confirmed,857,little/none,1,IUCN SSC Amphibian Specialist Group. 2016. Gephyromantis mafy. The IUCN Red List of Threatened Species 2016: e.T49563555A49563617. http://dx.doi.org/10.2305/IUCN.UK.2016-1.RLTS.T49563555A49563617.en. Downloaded on 24 February 2017.,Based on species distribution map,3. draft polygon,AZE (2018),,11/21/18,,,CR/EN,41,65,Madagascar Rainforest,,Madagascar,Madagascar," We work in Makira, Masoala is an expansion site. Others work in rest of stronghold.",9
14084,0,6538,Africa,Madagascar,MDG,Parc National de Masoala,Masoala National Park,MG017,-15.5127525573,50.1192981715,confirmed,confirmed,confirmed,207058,whole,2,"Andriaholinirina, N., Baden, A., Blanco, M., Chikhi, L., Cooke, A., Davies, N., Dolch, R., Donati, G., Ganzhorn, J., Golden, C., Groeneveld, L.F., Hapke, A., Irwin, M., Johnson, S., Kappeler, P., King, T., Lewis, R., Louis, E.E., Markolf, M., Mass, V., *",Based on existing KBA,3. draft polygon,AZE (2018),,03/17/16,,11/21/18,"CR/EN, VU, endemic, other",41,65,Madagascar Rainforest,,Madagascar,Madagascar," We work in Makira, Masoala is an expansion site. Others work in rest of stronghold.",2052
14110,0,29692,Africa,Gabon,GAB,Mount Iboundji,Mount Iboundji,,-1.1507180015,11.7801999643,,confirmed,confirmed,972,little/none,0,Olivier Pauwels. 2006. Werneria iboundji. The IUCN Red List of Threatened Species 2006: e.T61761A12554976. http://dx.doi.org/10.2305/IUCN.UK.2006.RLTS.T61761A12554976.en. Downloaded on 24 February 2017.,No change from existing AZE,3. draft polygon,AZE (2018),,07/18/13,,,CR/EN,12,13,West Central Africa Rainforest,Africa,Multiple,Guineo-Congolian inland forests,,10
14116,0,6127,Africa,Cameroon,CMR,Mount Rata and Rumpi Hills Forest Reserve,Mount Rata and Rumpi Hills Forest Reserve,CM024,4.9007217966,9.0889767357,confirmed,confirmed,confirmed,45200,whole,1,"Kennerley, R. 2016. Myosorex rumpii. The IUCN Red List of Threatened Species 2016: e.T14113A22287321. http://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T14113A22287321.en. Downloaded on 27 December 2016.; Jean-Louis Amiet, Arne Schi├©tz. 2004. Alexteroon jyn",No change from existing AZE,3. draft polygon,AZE (2018),,05/12/05,,07/10/15,"CR/EN, VU, endemic, other",5,6,Greater Cross River,Africa,"Cameroon, Nigeria",Cross River-Takamanda,,451
14126,0,27111,Africa,Madagascar,MDG,NAP Ankeniheny - Lakato,Ankeniheny - Lakato NPA,,-19.0845260238,48.4297199493,,confirmed,confirmed,45767,most,1,IUCN SSC Amphibian Specialist Group. 2016. Boophis liami. The IUCN Red List of Threatened Species 2016: e.T57409A84163123. http://dx.doi.org/10.2305/IUCN.UK.2016-1.RLTS.T57409A84163123.en. Downloaded on 24 February 2017.,Based on existing KBA boundaries,3. draft polygon,AZE (2018),,03/17/16,,11/21/18,"CR/EN, VU",41,65,Madagascar Rainforest,,Madagascar,Madagascar," We work in Makira, Masoala is an expansion site. Others work in rest of stronghold.",223
