FID_Global,OBJECTID,SITRECID,REGION,COUNTRY,ISO3,NATNAME,INTNAME,FINCODE,SITLAT,SITLONG,IBASTATUS,KBASTATUS,AZESTATUS,SITAREA,PROTECT,NO_PA,SOURCE,DELTXT,DELGEOM,CREATEDBY,TRIGGERS,FID_WWW_ed,OBJECTID_1,NAME,at_risk,Map_number,COUNTRY_1,TYPE,CONTINENT,sq_km
15753,0,14542,South America,Ecuador,ECU,Parque Nacional Llanganates,Parque Nacional Llanganates,EC056,-1.1356592892,-78.2410053812,confirmed,confirmed,,219580,whole,2,IBA,Recieved from Partner via Regional Office. Delineated based on the WDPA August 2020 boundary.,3. draft polygon,BirdLife International,"VU, endemic, other",39,53,Llanganates-Yasuni,,,Ecuador,WCS areas of work,South America,2184
15754,0,14557,South America,Ecuador,ECU,Corredor Ecol├│gico Llanganates-Sangay,Corredor Ecol├│gico Llanganates-Sangay,EC057,-1.4395158397,-78.1792630448,confirmed,confirmed,,43943,whole,4,IBA,Recieved from Partner via Regional Office. Delineated based on the WDPA August 2020 boundary.,3. draft polygon,BirdLife International,"CR/EN, VU, endemic",39,53,Llanganates-Yasuni,,,Ecuador,WCS areas of work,South America,402
15755,0,14608,South America,Ecuador,ECU,Parque Nacional Sumaco-Napo Galeras,Parque Nacional Sumaco-Napo Galeras,EC050,-0.4307139568,-77.5560428968,confirmed,confirmed,confirmed,208939,whole,3,"IBA process. Luis A. Coloma, Santiago Ron. 2004. Hyloscirtus staufferorum. The IUCN Red List of Threatened Species 2004: e.T55663A11349669. http://dx.doi.org/10.2305/IUCN.UK.2004.RLTS.T55663A11349669.en. Downloaded on 24 February 2017.",Recieved from Partner via Regional Office.  Boundary extended based on the WDPA August 2020 site.,3. draft polygon,AZE (2018),"CR/EN, VU, endemic",39,53,Llanganates-Yasuni,,,Ecuador,WCS areas of work,South America,81
15757,0,14517,South America,Ecuador,ECU,Reserva Ecol├│gica Cof├ín-Bermejo,Reserva Ecol├│gica Cof├ín-Bermejo,EC048,0.2991172664,-77.3309721277,confirmed,confirmed,,70550,most,2,IBA,Recieved from Partner via Regional Office. Boundary extended to to the WDPA August 2020 boundary,3. draft polygon,BirdLife International,"VU, endemic",45,59,Andean-Amazon piedmont of Putumayo,,,Colombia,WCS areas of work,South America,16
15854,0,14505,South America,Colombia,COL,Isla Mocagua y Zaragocilla,Isla Mocagua y Zaragocilla,CO198,-3.8818782067,-70.2234837431,confirmed,,,3589,little/none,0,IBA Directory Process,Recieved from Partner via Regional Office.,3. draft polygon,BirdLife International,CR/EN,40,54,Mara├▒on Ucayali,,,Peru,WCS areas of work,South America,6
3738,0,20392,South America,Paraguay,PRY,Parque Nacional Defensores del Chaco,Parque Nacional Defensores del Chaco,PY002,-20.2092052592,-60.2393941988,confirmed,,,711753,whole,4,IBA Directory Process,Recieved from Partner via Regional Office,3. draft polygon,,other,36,44,Paraguayan Chaco,,,Paraguay,WCS areas of work,South America,1
3740,0,20394,South America,Paraguay,PRY,Parque Nacional M├®danos del Chaco,Parque Nacional M├®danos del Chaco,PY001,-20.3034754922,-61.5768414455,confirmed,,,531649,whole,3,IBA Directory Process,Recieved from Partner via Regional Office,3. draft polygon,,"CR/EN, other",36,44,Paraguayan Chaco,,,Paraguay,WCS areas of work,South America,1
9594,0,14348,South America,Bolivia,BOL,Yungas Superiores de Madidi,Yungas Superiores de Madidi,BO016,-14.3548329048,-68.6436123187,confirmed,confirmed,,260020,whole,2,Original boundary from IBA Directory Process adopted by CEPF Tropical Andes Hotspot Profile in 2015,Received from NatureServe as part of the CEPF Tropical Andes Hotspot Profile in 2015,3. draft polygon,BirdLife / CEPF,"VU, endemic, other",38,52,Madidi Tambopata,,,"Bolivia, Peru",WCS areas of work,South America,0
9603,0,14362,South America,Bolivia,BOL,Bosque de Polylepis de Madidi,Bosque de Polylepis de Madidi,BO004,-14.588277866,-69.0344071363,confirmed,confirmed,,102459,whole,2,Original boundary from IBA Directory Process adopted by CEPF Tropical Andes Hotspot Profile in 2015,Received from NatureServe as part of the CEPF Tropical Andes Hotspot Profile in 2015,3. draft polygon,BirdLife / CEPF,"CR/EN, VU, endemic",38,52,Madidi Tambopata,,,"Bolivia, Peru",WCS areas of work,South America,0
9594,0,14348,South America,Bolivia,BOL,Yungas Superiores de Madidi,Yungas Superiores de Madidi,BO016,-14.3548329048,-68.6436123187,confirmed,confirmed,,260020,whole,2,Original boundary from IBA Directory Process adopted by CEPF Tropical Andes Hotspot Profile in 2015,Received from NatureServe as part of the CEPF Tropical Andes Hotspot Profile in 2015,3. draft polygon,BirdLife / CEPF,"VU, endemic, other",38,52,Madidi Tambopata,,,"Bolivia, Peru",WCS areas of work,South America,0
9606,0,14367,South America,Bolivia,BOL,Yungas Inferiores de Madidi,Yungas Inferiores de Madidi,BO030,-13.898677366,-68.6959393363,confirmed,confirmed,,402285,whole,2,Original boundary from IBA Directory Process adopted by CEPF Tropical Andes Hotspot Profile in 2015,Received from NatureServe as part of the CEPF Tropical Andes Hotspot Profile in 2015,3. draft polygon,BirdLife / CEPF,"CR/EN, VU, endemic, other",38,52,Madidi Tambopata,,,"Bolivia, Peru",WCS areas of work,South America,0
9594,0,14348,South America,Bolivia,BOL,Yungas Superiores de Madidi,Yungas Superiores de Madidi,BO016,-14.3548329048,-68.6436123187,confirmed,confirmed,,260020,whole,2,Original boundary from IBA Directory Process adopted by CEPF Tropical Andes Hotspot Profile in 2015,Received from NatureServe as part of the CEPF Tropical Andes Hotspot Profile in 2015,3. draft polygon,BirdLife / CEPF,"VU, endemic, other",38,52,Madidi Tambopata,,,"Bolivia, Peru",WCS areas of work,South America,0
14409,0,14353,South America,Bolivia,BOL,Apolo,Apolo,BO001,-14.7225344508,-68.4438203624,confirmed,confirmed,confirmed,192015,some,2,http://datazone.birdlife.org/site/factsheet/14353,Same as IBA,3. draft polygon,AZE (2018),"CR/EN, VU",38,52,Madidi Tambopata,,,"Bolivia, Peru",WCS areas of work,South America,0
9603,0,14362,South America,Bolivia,BOL,Bosque de Polylepis de Madidi,Bosque de Polylepis de Madidi,BO004,-14.588277866,-69.0344071363,confirmed,confirmed,,102459,whole,2,Original boundary from IBA Directory Process adopted by CEPF Tropical Andes Hotspot Profile in 2015,Received from NatureServe as part of the CEPF Tropical Andes Hotspot Profile in 2015,3. draft polygon,BirdLife / CEPF,"CR/EN, VU, endemic",38,52,Madidi Tambopata,,,"Bolivia, Peru",WCS areas of work,South America,0
14352,0,14388,South America,Bolivia,BOL,Yungas Superiores de Apolobamba,Yungas Superiores de Apolobamba,BO015,-15.0323954661,-68.8712013154,confirmed,confirmed,confirmed,470441,whole,2,"Claudia Cortez, Steffen Reichle, Ignacio De la Riva, J├Ârn K├Âhler. 2004. Hyloscirtus charazani. The IUCN Red List of Threatened Species 2004: e.T55443A11312311. http://dx.doi.org/10.2305/IUCN.UK.2004.RLTS.T55443A11312311.en. Downloaded on 24 February 20",No change from existing AZE,3. draft polygon,AZE (2018),"CR/EN, VU, endemic, migratory birds/congregations, other",38,52,Madidi Tambopata,,,"Bolivia, Peru",WCS areas of work,South America,0
9606,0,14367,South America,Bolivia,BOL,Yungas Inferiores de Madidi,Yungas Inferiores de Madidi,BO030,-13.898677366,-68.6959393363,confirmed,confirmed,,402285,whole,2,Original boundary from IBA Directory Process adopted by CEPF Tropical Andes Hotspot Profile in 2015,Received from NatureServe as part of the CEPF Tropical Andes Hotspot Profile in 2015,3. draft polygon,BirdLife / CEPF,"CR/EN, VU, endemic, other",38,52,Madidi Tambopata,,,"Bolivia, Peru",WCS areas of work,South America,63
9887,0,14725,South America,Peru,PER,Bahuaja-Sonene,Bahuaja-Sonene,PE116,-13.3713492743,-69.4060093723,confirmed,,,1092935,whole,1,IBA Directory Process,Recieved from Partner via Regional Office,3. draft polygon,BirdLife International,"VU, endemic, other",38,52,Madidi Tambopata,,,"Bolivia, Peru",WCS areas of work,South America,63
9882,0,14690,South America,Peru,PER,Tambopata,Tambopata,PE115,-12.9057482198,-69.332106811,confirmed,,,277822,whole,2,IBA Directory Process,Recieved from Partner via Regional Office,3. draft polygon,BirdLife International,"VU, endemic, other",38,52,Madidi Tambopata,,,"Bolivia, Peru",WCS areas of work,South America,0
9887,0,14725,South America,Peru,PER,Bahuaja-Sonene,Bahuaja-Sonene,PE116,-13.3713492743,-69.4060093723,confirmed,,,1092935,whole,1,IBA Directory Process,Recieved from Partner via Regional Office,3. draft polygon,BirdLife International,"VU, endemic, other",38,52,Madidi Tambopata,,,"Bolivia, Peru",WCS areas of work,South America,0
10021,0,14422,South America,Colombia,COL,Ca├▒├│n del R├¡o Barbas y Bremen,Ca├▒├│n del R├¡o Barbas y Bremen,CO050,4.6965228198,-75.6185613413,confirmed,confirmed,,9772,whole,5,Original boundary defined by the IBA Directory Processes was retained by the 2015 CEPF Hotspot Profile,Recieved from Partner via Regional Office,3. draft polygon,BirdLife / CEPF,"CR/EN, VU, endemic",43,57,Western-Central Andes,,,Colombia,WCS areas of work,South America,0
10033,0,14464,South America,Colombia,COL,Bosques del Oriente de Risaralda,Bosques del Oriente de Risaralda,CO047,4.7756877616,-75.5238981934,confirmed,confirmed,,24071,whole,8,Original boundary defined by the IBA Directory Processes was retained by the 2015 CEPF Hotspot Profile,Recieved from Partner via Regional Office,3. draft polygon,BirdLife / CEPF,"CR/EN, VU, endemic, other",43,57,Western-Central Andes,,,Colombia,WCS areas of work,South America,0
10032,0,14461,South America,Colombia,COL,Alto Quind├¡o,Alto Quind├¡o,CO053,4.623333277,-75.4616668395,confirmed,confirmed,,4005,whole,2,Original boundary defined by the IBA Directory Processes was retained by the 2015 CEPF Hotspot Profile,Recieved from Partner via Regional Office,3. draft polygon,BirdLife / CEPF,"VU, endemic, other",43,57,Western-Central Andes,,,Colombia,WCS areas of work,South America,1
10045,0,14493,South America,Colombia,COL,Cuenca del R├¡o Toche,Cuenca del R├¡o Toche,CO055,4.5582849806,-75.4227948229,confirmed,confirmed,,21419,little/none,3,Original boundary defined by the IBA Directory Processes was retained by the 2015 CEPF Hotspot Profile,Recieved from Partner via Regional Office,3. draft polygon,BirdLife / CEPF,"CR/EN, VU, endemic, other",43,57,Western-Central Andes,,,Colombia,WCS areas of work,South America,1
10033,0,14464,South America,Colombia,COL,Bosques del Oriente de Risaralda,Bosques del Oriente de Risaralda,CO047,4.7756877616,-75.5238981934,confirmed,confirmed,,24071,whole,8,Original boundary defined by the IBA Directory Processes was retained by the 2015 CEPF Hotspot Profile,Recieved from Partner via Regional Office,3. draft polygon,BirdLife / CEPF,"CR/EN, VU, endemic, other",43,57,Western-Central Andes,,,Colombia,WCS areas of work,South America,77
13812,0,25203,South America,Colombia,COL,Albania,Albania,,4.7874661182,-75.5207030721,,confirmed,confirmed,9618,whole,3,"Fernando Castro, Maria Isabel Herrera, John Lynch. 2004. Niceforonia adenobrachia. The IUCN Red List of Threatened Species 2004: e.T57198A11587721. http://dx.doi.org/10.2305/IUCN.UK.2004.RLTS.T57198A11587721.en. Downloaded on 24 February 2017.",No change from existing AZE,3. draft polygon,AZE (2018),CR/EN,43,57,Western-Central Andes,,,Colombia,WCS areas of work,South America,77
10048,0,19079,South America,Colombia,COL,Laguna de la Cocha,Laguna de la Cocha,CO166,1.1265336193,-77.0645354244,confirmed,confirmed,,58454,most,9,Original boundary defined by the IBA Directory Processes was retained by the 2015 CEPF Hotspot Profile,Recieved from Partner via Regional Office,3. draft polygon,BirdLife / CEPF,other,45,59,Andean-Amazon piedmont of Putumayo,,,Colombia,WCS areas of work,South America,45
14791,0,26533,South America,Colombia,COL,Valle de Sibundoy y Laguna de la Cocha,Valle de Sibundoy y Laguna de la Cocha,,1.0000940596,-76.9306038276,,confirmed,de-listed,152804,some,3,"Large extension added by R. Smyth, NatureServe as part of the 2015 CEPF Hotspot Profile and sites merged","Previous site extended. Delineated using spatial layers representing biodiversity value, land cover, and adjacent KBAs",3. draft polygon,"R. Smyth, NatureServe","CR/EN, VU, endemic",45,59,Andean-Amazon piedmont of Putumayo,,,Colombia,WCS areas of work,South America,45
10058,0,21671,South America,Colombia,COL,Tatam├í - Paraguas,Tatam├í - Paraguas,,4.7717825663,-76.4013111987,,confirmed,,166308,little/none,0,"R. Smyth, NatureServe as part of the 2015 CEPF Hotspot Profile","Delineated using spatial layers representing biodiversity value, land cover, and adjacent KBAs",-,"R. Smyth, NatureServe","CR/EN, VU, endemic",44,58,Andes-Choco,,,Colombia,WCS areas of work,South America,116
15676,0,19104,South America,Colombia,COL,Serran├¡a de los Paraguas,Serran├¡a de los Paraguas,CO139,4.6861298034,-76.2510586056,confirmed,confirmed,,39783,little/none,32,Original boundary defined by the IBA Directory Processes was retained by the 2015 CEPF Hotspot Profile. Re-delineation made by partner via Regional Office,Recieved from Partner via Regional Office,3. draft polygon,BirdLife International,"CR/EN, VU, endemic, other",44,58,Andes-Choco,,,Colombia,WCS areas of work,South America,116
10067,0,14559,South America,Ecuador,ECU,Reserva de Producci├│n Faun├¡stica Cuyabeno,Reserva de Producci├│n Faun├¡stica Cuyabeno,EC091,-0.3158845607,-75.7883827563,confirmed,,,579230,whole,2,IBA Directory Process,Recieved from Partner via Regional Office,3. draft polygon,BirdLife International,"endemic, other",39,53,Llanganates-Yasuni,,,Ecuador,WCS areas of work,South America,0
15663,0,14547,South America,Ecuador,ECU,Bajo Napo,Bajo Napo,EC092,-0.6300105378,-75.8356090872,confirmed,,,208298,whole,4,IBA Directory Process,Recieved from Partner via Regional Office,3. draft polygon,BirdLife International,"endemic, other",39,53,Llanganates-Yasuni,,,Ecuador,WCS areas of work,South America,0
10081,0,14641,South America,Ecuador,ECU,Gran Yasun├¡,Gran Yasun├¡,EC093,-1.1048421491,-76.2262849736,confirmed,,,1632238,most,4,IBA Directory Process,Recieved from Partner via Regional Office,3. draft polygon,BirdLife International,"endemic, other",39,53,Llanganates-Yasuni,,,Ecuador,WCS areas of work,South America,3
15663,0,14547,South America,Ecuador,ECU,Bajo Napo,Bajo Napo,EC092,-0.6300105378,-75.8356090872,confirmed,,,208298,whole,4,IBA Directory Process,Recieved from Partner via Regional Office,3. draft polygon,BirdLife International,"endemic, other",39,53,Llanganates-Yasuni,,,Ecuador,WCS areas of work,South America,3
10088,0,32047,South America,Ecuador,ECU,Manteles - El Triunfo - Sucre,Manteles - El Triunfo - Sucre,EC109,-1.3266637229,-78.4280854538,confirmed,,,7845,little/none,0,Boundary provided by Partner via regional office in October 2014,,4. refined polygon,BirdLife International,"VU, endemic",39,53,Llanganates-Yasuni,,,Ecuador,WCS areas of work,South America,2
15753,0,14542,South America,Ecuador,ECU,Parque Nacional Llanganates,Parque Nacional Llanganates,EC056,-1.1356592892,-78.2410053812,confirmed,confirmed,,219580,whole,2,IBA,Recieved from Partner via Regional Office. Delineated based on the WDPA August 2020 boundary.,3. draft polygon,BirdLife International,"VU, endemic, other",39,53,Llanganates-Yasuni,,,Ecuador,WCS areas of work,South America,2
15141,0,14443,South America,Colombia,COL,Parque Nacional Natural Nevado del Huila,Parque Nacional Natural Nevado del Huila,CO062,2.9797344491,-75.9231633486,confirmed,confirmed,,163775,whole,2,Original boundary defined by the IBA Directory Processes was retained by the 2015 CEPF Hotspot Profile,Recieved from Regional Office. WDPA Jan 2020,3. draft polygon,BirdLife / CEPF,VU,43,57,Western-Central Andes,,,Colombia,WCS areas of work,South America,0
15156,0,14512,South America,Colombia,COL,Cuenca del R├¡o San Miguel,Cuenca del R├¡o San Miguel,CO061,3.1603869901,-75.6983595412,confirmed,confirmed,,7953,little/none,1,Original boundary defined by the IBA Directory Processes was retained by the 2015 CEPF Hotspot Profile,Recieved from Partner via Regional Office,3. draft polygon,BirdLife / CEPF,VU,43,57,Western-Central Andes,,,Colombia,WCS areas of work,South America,0
15753,0,14542,South America,Ecuador,ECU,Parque Nacional Llanganates,Parque Nacional Llanganates,EC056,-1.1356592892,-78.2410053812,confirmed,confirmed,,219580,whole,2,IBA,Recieved from Partner via Regional Office. Delineated based on the WDPA August 2020 boundary.,3. draft polygon,BirdLife International,"VU, endemic, other",39,53,Llanganates-Yasuni,,,Ecuador,WCS areas of work,South America,0
15754,0,14557,South America,Ecuador,ECU,Corredor Ecol├│gico Llanganates-Sangay,Corredor Ecol├│gico Llanganates-Sangay,EC057,-1.4395158397,-78.1792630448,confirmed,confirmed,,43943,whole,4,IBA,Recieved from Partner via Regional Office. Delineated based on the WDPA August 2020 boundary.,3. draft polygon,BirdLife International,"CR/EN, VU, endemic",39,53,Llanganates-Yasuni,,,Ecuador,WCS areas of work,South America,0
1298,0,6064,Africa,"Congo, The Democratic Republic of the",COD,Mount Hoyo Reserve,Mount Hoyo Reserve,CD008,1.2230541986,29.8307532068,confirmed,confirmed,,58436,whole,1,,,3. draft polygon,,"VU, endemic, other",18,20,Ituri,,,DRC,WCS areas of work,Africa,30
1299,0,6065,Africa,"Congo, The Democratic Republic of the",COD,Okapi Faunal Reserve,Okapi Faunal Reserve,CD009,1.6614942186,28.5021803683,confirmed,,,1387690,whole,2,RSPB funded initiative to create polygon boundaries for IBAs in Africa.,"Digitized from national and continental scale maps of protected areas, lakes and wetlands.",3. draft polygon,"Paul Britten, RSPB","CR/EN, VU, endemic, other",18,20,Ituri,,,DRC,WCS areas of work,Africa,13877
1312,0,6083,Africa,Central African Republic,CAF,Dzanga-Ndoki National Park,Dzanga-Ndoki National Park,CF008,2.8810292594,16.2313532777,confirmed,,,457602,whole,4,RSPB funded initiative to create polygon boundaries for IBAs in Africa.,"Digitized from national and continental scale maps of protected areas, lakes and wetlands.",3. draft polygon,"Paul Britten, RSPB","endemic, other",21,23,Ndoki-Likouala,,,Congo,WCS areas of work,Africa,16
1313,0,6084,Africa,Congo,COG,Nouabal├®-Ndoki National Park complex,Nouabal├®-Ndoki National Park complex,CG001,2.4909728218,16.6021010285,confirmed,,,420588,whole,2,RSPB funded initiative to create polygon boundaries for IBAs in Africa.,"Digitized from national and continental scale maps of protected areas, lakes and wetlands.",3. draft polygon,"Paul Britten, RSPB",other,21,23,Ndoki-Likouala,,,Congo,WCS areas of work,Africa,4197
1314,0,6085,Africa,Congo,COG,Odzala National Park complex,Odzala National Park complex,CG002,0.9751394693,14.9227833918,confirmed,,,1355692,whole,3,RSPB funded initiative to create polygon boundaries for IBAs in Africa.,"Digitized from national and continental scale maps of protected areas, lakes and wetlands.",3. draft polygon,"Paul Britten, RSPB",other,47,62,Gabon,,,Gabon,Policy,Africa,12
1318,0,6089,Africa,Congo,COG,Conkouati National Park,Conkouati National Park,CG006,-3.871383992,11.5019018182,confirmed,,,313420,whole,2,RSPB funded initiative to create polygon boundaries for IBAs in Africa.,"Digitized from national and continental scale maps of protected areas, lakes and wetlands.",3. draft polygon,"Paul Britten, RSPB","migratory birds/congregations, other",47,62,Gabon,,,Gabon,Policy,Africa,0
1329,0,6118,Africa,Cameroon,CMR,Mbam Djerem National Park,Mbam Djerem National Park,CM015,5.8473348504,12.7745765903,confirmed,,,423478,whole,1,RSPB funded initiative to create polygon boundaries for IBAs in Africa.,"Digitized from national and continental scale maps of protected areas, lakes and wetlands.",3. draft polygon,"Paul Britten, RSPB","endemic, other",16,18,Mbam et Djerem,,,Cameroon,WCS areas of work,Africa,4203
1335,0,6136,Africa,Cameroon,CMR,Lob├®k├® National Park,Lob├®k├® National Park,CM033,2.3028951975,15.8882757215,confirmed,,,183855,whole,3,RSPB funded initiative to create polygon boundaries for IBAs in Africa.,"Digitized from national and continental scale maps of protected areas, lakes and wetlands.",3. draft polygon,"Paul Britten, RSPB","endemic, other",21,23,Ndoki-Likouala,,,Congo,WCS areas of work,Africa,6
1439,0,6304,Africa,Gabon,GAB,Gamba Protected Areas Complex,Gamba Protected Areas Complex,GA001,-2.3884044672,10.1301976608,confirmed,,,1235660,whole,19,RSPB funded initiative to create polygon boundaries for IBAs in Africa.,"Digitized from national and continental scale maps of protected areas, lakes and wetlands.",3. draft polygon,"Paul Britten, RSPB","VU, endemic, migratory birds/congregations, other",47,62,Gabon,,,Gabon,Policy,Africa,11418
1440,0,6305,Africa,Gabon,GAB,Lop├® Faunal Reserve,Lop├® Faunal Reserve,GA002,-0.5254518204,11.5422372543,confirmed,,,494773,whole,2,RSPB funded initiative to create polygon boundaries for IBAs in Africa.,"Digitized from national and continental scale maps of protected areas, lakes and wetlands.",3. draft polygon,"Paul Britten, RSPB","VU, endemic, other",47,62,Gabon,,,Gabon,Policy,Africa,4948
1441,0,6306,Africa,Gabon,GAB,Ipassa Strict Nature Reserve,Ipassa Strict Nature Reserve,GA003,0.4800428331,12.769941795,confirmed,,,9729,whole,3,RSPB funded initiative to create polygon boundaries for IBAs in Africa.,"Digitized from national and continental scale maps of protected areas, lakes and wetlands.",3. draft polygon,"Paul Britten, RSPB","VU, endemic, other",47,62,Gabon,,,Gabon,Policy,Africa,97
1442,0,6307,Africa,Gabon,GAB,Mink├®b├® Forest Reserve,Mink├®b├® Forest Reserve,GA004,1.6795063684,12.7589832655,confirmed,,,752968,whole,1,RSPB funded initiative to create polygon boundaries for IBAs in Africa.,"Digitized from national and continental scale maps of protected areas, lakes and wetlands.",3. draft polygon,"Paul Britten, RSPB","endemic, other",47,62,Gabon,,,Gabon,Policy,Africa,7517
1443,0,6308,Africa,Gabon,GAB,Akanda,Akanda,GA005,0.6112748924,9.5550706546,confirmed,,,41263,whole,2,RSPB funded initiative to create polygon boundaries for IBAs in Africa.,"Digitized from national and continental scale maps of protected areas, lakes and wetlands.",3. draft polygon,"Paul Britten, RSPB","VU, endemic, migratory birds/congregations, other",47,62,Gabon,,,Gabon,Policy,Africa,174
1444,0,6309,Africa,Gabon,GAB,Ogoou├® delta and Mandji island,Ogoou├® delta and Mandji island,GA006,-0.8383106251,8.8202445863,confirmed,,,28226,little/none,2,RSPB funded initiative to create polygon boundaries for IBAs in Africa.,"Digitized from national and continental scale maps of protected areas, lakes and wetlands.",3. draft polygon,"Paul Britten, RSPB","VU, endemic, migratory birds/congregations, other",47,62,Gabon,,,Gabon,Policy,Africa,203
1445,0,6310,Africa,Gabon,GAB,L├®coni grasslands,L├®coni grasslands,GA007,-1.8051172319,14.2080317295,confirmed,,,229889,little/none,1,,,3. draft polygon,,other,47,62,Gabon,,,Gabon,Policy,Africa,2044
1663,0,6814,Africa,South Sudan,SSD,Boma,Boma,SS005,6.4409480364,34.070079927,confirmed,,,1698876,most,1,RSPB funded initiative to create polygon boundaries for IBAs in Africa.,"Digitized from national and continental scale maps of protected areas, lakes and wetlands.",3. draft polygon,"Paul Britten, RSPB","VU, other",49,64,South Sudan,,,South Sudan,WCS areas of work,Africa,13738
1665,0,6816,Africa,South Sudan,SSD,Bandingilo,Bandingilo,SS007,5.3085279914,32.2864573293,confirmed,confirmed,,1481590,whole,1,IBA directory description,"Digitized from IBA description using Google Earth. Accuracy difficult to determine, but probably poor.",3. draft polygon,"Tris Allinson, BirdlLife International",other,50,65,South Sudan,,,South Sudan,WCS areas of work,Africa,8670
1665,0,6816,Africa,South Sudan,SSD,Bandingilo,Bandingilo,SS007,5.3085279914,32.2864573293,confirmed,confirmed,,1481590,whole,1,IBA directory description,"Digitized from IBA description using Google Earth. Accuracy difficult to determine, but probably poor.",3. draft polygon,"Tris Allinson, BirdlLife International",other,51,66,South Sudan,,,South Sudan,WCS areas of work,Africa,1449
1750,0,6965,Africa,Tanzania,TZA,Katavi National Park,Katavi National Park,TZ002,-6.9030248145,31.2838014199,confirmed,confirmed,,402610,whole,1,"BirdLife International, SitMapGlobal: 18/02/08",,3. draft polygon,,"migratory birds/congregations, other",59,86,Ruaha-Katavi,,,Tanzania,,Africa,0
1754,0,6970,Africa,Tanzania,TZA,Ruaha National Park,Ruaha National Park,TZ007,-7.5553215277,34.6239375215,confirmed,,,1166013,whole,2,"BirdLife International, SitMapGlobal: 18/02/08",,3. draft polygon,,"migratory birds/congregations, other",59,86,Ruaha-Katavi,,,Tanzania,,Africa,9022
1784,0,7001,Africa,Tanzania,TZA,Usangu flats,Usangu flats,TZ038,-8.4315318577,34.2552406173,confirmed,,,442747,some,2,"BirdLife International, SitMapGlobal: 18/02/08",,3. draft polygon,,"VU, migratory birds/congregations, other",59,86,Ruaha-Katavi,,,Tanzania,,Africa,274
1817,0,7047,Africa,Uganda,UGA,Queen Elizabeth National Park and Lake George,Queen Elizabeth National Park and Lake George,UG007,-0.1945486765,29.9842802997,confirmed,confirmed,,268238,whole,7,RSPB funded initiative to create polygon boundaries for IBAs in Africa.,"Digitized from national and continental scale maps of protected areas, lakes and wetlands.",3. draft polygon,"Paul Britten, RSPB","CR/EN, VU, migratory birds/congregations, other",108,0,,,,,,Africa,742
4541,0,24249,Africa,Congo,COG,Lake T├®l├® Community Reserve,Lake T├®l├® Community Reserve,CG008,1.1911610903,17.2286017433,confirmed,,,452656,whole,2,"Latest GIS: Centre National dÔÇÖInventaire et dÔÇÖAm├®nagement des Resources Forestieres et Fauniques (CNIAF), Minist├¿re dÔÇÖEconomie Foresti├¿re (MEF), Gouvernement du Congo in 2006.",,3. draft polygon,,"migratory birds/congregations, other",21,23,Ndoki-Likouala,,,Congo,WCS areas of work,Africa,4506
4542,0,24251,Africa,Congo,COG,Ntokou Pikounda  Reserve,Ntokou Pikounda  Reserve,CG009,0.8850659173,15.9781802779,confirmed,,,1790720,whole,3,,,3. draft polygon,,other,21,23,Ndoki-Likouala,,,Congo,WCS areas of work,Africa,1
4543,0,24252,Africa,Congo,COG,Ogoou├® Leketi  National Park,Ogoou├® Leketi  National Park,CG007,-2.3847275745,14.0969234077,confirmed,,,420552,whole,1,,,3. draft polygon,,other,47,62,Gabon,,,Gabon,Policy,Africa,0
4924,0,29369,Africa,Uganda,UGA,Kalinzu Forest Reserve,Kalinzu Forest Reserve,,-0.4080646903,30.0599745476,,confirmed,,14065,whole,1,"Latest GIS: Boundary supplied by Lamprey, R.H., et al. in 'A Wildlife Protected Area System Plan for Uganda' (1999) (March 2004) adjusted to match boundary on Albertine Rift Protected Areas Map Series (see doc link), accessed 09/03/2005.","UGA PAs, 2008.",3. draft polygon,,VU,108,0,,,,,,Africa,107
9240,0,22440,Africa,Madagascar,MDG,Rivi├¿re Antainambalana-Andranofotsy (Maroantsetra),Antainambalana-Andranofotsy River (Maroantsetra),,-15.4146093509,49.7170439104,,confirmed,,1136,little/none,0,"FTM, 2005",boundary of rivers,3. draft polygon,CEPF Hotspot Profile,VU,61,88,,,,Madagascar,,Africa,11
9275,0,45373,Africa,Madagascar,MDG,NAP Andreba,Andreba NPA,,-15.9397156325,49.7068756349,,confirmed,,29,little/none,0,"WCS, Protected area from the Ministry of Forestry, 2007",existing protected area boundary,3. draft polygon,CEPF Hotspot Profile,"CR/EN, endemic",61,88,,,,Madagascar,,Africa,0
9311,0,22451,Africa,Madagascar,MDG,Parc National de Masoala - Parcelle II,Masoala National Park - Section II,,-15.5899559741,50.2897178378,,confirmed,,67736,little/none,0,"MNP, Protected area from the Ministry of Forestry, 2010",existing protected area boundary,3. draft polygon,CEPF Hotspot Profile,"CR/EN, VU, endemic",61,88,,,,Madagascar,,Africa,307
9312,0,22505,Africa,Madagascar,MDG,Parc National de Masoala - Parcelle III,Masoala National Park - Section III,,-15.528431882,49.9379352009,,confirmed,,10743,little/none,0,"MNP, Protected area from the Ministry of Forestry, 2010",existing protected area boundary,3. draft polygon,CEPF Hotspot Profile,"CR/EN, VU, endemic",61,88,,,,Madagascar,,Africa,99
