FID_Globa,"OBJECTID,N,10,0",SITRECID,REGION,COUNTRY,ISO3,NATNAME,INTNAME,FINCODE,SITLAT,SITLONG,IBASTATUS,KBASTATUS,AZESTATUS,SITAREA,PROTECT,NO_PA,SOURCE,DELTXT,DELGEOM,CREATEDBY,ADDEDBY,ADDEDDATE,CHANGEBY,CHANGEDATE,TRIGGERS,FID_strong,OBJECTID_1,SCAPENAME,PROGRAM,COUNTRY_1,Name,Region_1,WCS_SH,Reason,sq_km
13321,0,6743,Africa,Nigeria,NGA,Cross River National Park (Okwangwo Division) and Mbe Mountains,Cross River National Park (Okwangwo Division) and Mbe Mountains,NG010,6.3210498688,9.227701803,confirmed,confirmed,,95288,whole,4,RSPB funded initiative to create polygon boundaries for IBAs in Africa.,"Digitized from national and continental scale maps of protected areas, lakes and wetlands.",3. draft polygon,"Paul Britten, RSPB",,05/12/05,,07/10/15,"CR/EN, VU, endemic, other",3,6,Greater Cross River,Africa,"Cameroon, Nigeria",Cross River-Takamanda,Central Africa,1,,953
13418,0,6576,Africa,Madagascar,MDG,For├¬t Class├®e d'Ankeniheny,Ankeniheny Classified Forest,MG055,-19.151403662,48.3010222311,confirmed,,,32868,whole,1,Original IBA boundary provided by Partner,Boundary reinstated for 2018 IBA in Danger update,3. draft polygon,Partner,,04/17/18,,,"VU, endemic, other",24,65,Madagascar Rainforest,,Madagascar,Madagascar,East Africa West Indian Ocean,1," We work in Makira, Masoala is an expansion site. Others work in rest of stronghold.",192
13419,0,6599,Africa,Madagascar,MDG,For├¬t de Zafimaniry,Zafimaniry Forest,MG078,-20.7134851751,47.4061551302,confirmed,,,15208,little/none,0,Original IBA boundary provided by Partner,Boundary reinstated for 2018 IBA in Danger update,3. draft polygon,Partner,,04/17/18,,,"endemic, other",24,65,Madagascar Rainforest,,Madagascar,Madagascar,East Africa West Indian Ocean,1," We work in Makira, Masoala is an expansion site. Others work in rest of stronghold.",107
13573,0,46982,Africa,Rwanda,RWA,Mukungwa River Catchment,Mukungwa River Catchment,,-1.572580022,29.6716934899,,confirmed,,68288,little/none,0,IUCN Freshwater Biodiversity Unit,Digitized by IUCN Freshwater Biodiversity Unit,4. refined polygon,IUCN Freshwater Biodiversity Unit,,09/12/18,,,"CR/EN, endemic",0,1,Northern Albertine Rift,Africa,"DRC, Rwanda, Uganda",Greater Virunga,Central Africa,1,,68
13576,0,47002,Africa,Madagascar,MDG,Lower Anove,Lower Anove,,-16.6155455617,49.7128913087,,confirmed,,14385,little/none,0,"IUCN Freshwater Biodiversity Unit.  Maiz-Tome, L., Sayer, C. and Darwall, W. (eds) (2018) The Status and Distribution of Freshwater Biodiversity in Madagascar and the Indian Islands hotspot. Gland, Switzerland: IUCN. viii+128pp. 
",Digitized by IUCN Freshwater Biodiversity Unit,4. refined polygon,IUCN Freshwater Biodiversity Unit,,09/18/18,,,CR/EN,24,65,Madagascar Rainforest,,Madagascar,Madagascar,East Africa West Indian Ocean,1," We work in Makira, Masoala is an expansion site. Others work in rest of stronghold.",0
13579,0,47003,Africa,Madagascar,MDG,Upper Mananara river,Upper Mananara river,,-23.035267317,47.1624951845,,confirmed,,149695,little/none,0,"IUCN Freshwater Biodiversity Unit.  Maiz-Tome, L., Sayer, C. and Darwall, W. (eds) (2018) The Status and Distribution of Freshwater Biodiversity in Madagascar and the Indian Islands hotspot. Gland, Switzerland: IUCN. viii+128pp.",Digitized by IUCN Freshwater Biodiversity Unit,4. refined polygon,IUCN Freshwater Biodiversity Unit,,09/18/18,,,CR/EN,24,65,Madagascar Rainforest,,Madagascar,Madagascar,East Africa West Indian Ocean,1," We work in Makira, Masoala is an expansion site. Others work in rest of stronghold.",730
13819,0,6601,Africa,Madagascar,MDG,Parc National d'Andringitra,Andringitra National Park,MG080,-22.2291538059,46.9296279232,confirmed,confirmed,confirmed,32083,whole,2,"IUCN SSC Amphibian Specialist Group. 2016. Boophis laurenti. The IUCN Red List of Threatened Species 2016: e.T57408A84163015. http://dx.doi.org/10.2305/IUCN.UK.2016-1.RLTS.T57408A84163015.en. Downloaded on 24 February 2017.; Vences, M. & Glaw, F. 2008. *",No change from existing AZE,3. draft polygon,AZE (2018),,03/17/16,,,"CR/EN, VU, endemic, other",24,65,Madagascar Rainforest,,Madagascar,Madagascar,East Africa West Indian Ocean,1," We work in Makira, Masoala is an expansion site. Others work in rest of stronghold.",300
13846,0,22478,Africa,Madagascar,MDG,Beampingaratsy (Anosy Mountains),Beampingaratsy (Anosy Mountains),,-24.2512258371,47.0335131895,,confirmed,confirmed,116069,little/none,0,"IUCN SSC Amphibian Specialist Group,. 2012. Anodonthyla rouxae. The IUCN Red List of Threatened Species 2012: e.T57677A3061680. http://dx.doi.org/10.2305/IUCN.UK.2012-1.RLTS.T57677A3061680.en. Downloaded on 23 February 2017.",No change from existing AZE,3. draft polygon,AZE (2018),,03/17/16,,,"CR/EN, VU",24,65,Madagascar Rainforest,,Madagascar,Madagascar,East Africa West Indian Ocean,1," We work in Makira, Masoala is an expansion site. Others work in rest of stronghold.",790
13957,0,45384,Africa,Madagascar,MDG,NAP Corridor Forestier Fandriana-Marolambo (COFAM),Fandriana-Marolambo Forest Corridor NPA (COFAM),,-20.1870695536,47.7400075933,,confirmed,confirmed,194128,most,1,"Andriaholinirina, N., Baden, A., Blanco, M., Chikhi, L., Cooke, A., Davies, N., Dolch, R., Donati, G., Ganzhorn, J., Golden, C., Groeneveld, L.F., Hapke, A., Irwin, M., Johnson, S., Kappeler, P., King, T., Lewis, R., Louis, E.E., Markolf, M., Mass, V., *",Based on existing KBA,3. draft polygon,AZE (2018),,11/21/18,,,"CR/EN, VU",24,65,Madagascar Rainforest,,Madagascar,Madagascar,East Africa West Indian Ocean,1," We work in Makira, Masoala is an expansion site. Others work in rest of stronghold.",1698
13960,0,22453,Africa,Madagascar,MDG,NAP Fierenana,Fierenana NPA,,-18.4620187777,48.3904080933,,confirmed,confirmed,7782,little/none,0,"Vences, M. & Nussbaum, R. 2008. Mantella milotympanum. The IUCN Red List of Threatened Species 2008: e.T57448A11641404. http://dx.doi.org/10.2305/IUCN.UK.2008.RLTS.T57448A11641404.en. Downloaded on 24 February 2017.; Vences, M., Raxworthy, C.J. & Glaw, *",No change from existing AZE,3. draft polygon,AZE (2018),,03/17/16,,,"CR/EN, VU",24,65,Madagascar Rainforest,,Madagascar,Madagascar,East Africa West Indian Ocean,1," We work in Makira, Masoala is an expansion site. Others work in rest of stronghold.",62
13962,0,6578,Africa,Madagascar,MDG,Foret d'Anjozorobe,Anjozorobe Forest,MG057,-18.3615528544,47.9836591428,confirmed,confirmed,confirmed,51644,some,1,"Goodman, S. 2009. Voalavo antsahabensis. The IUCN Red List of Threatened Species 2009: e.T165925A6164250. http://dx.doi.org/10.2305/IUCN.UK.2009-2.RLTS.T165925A6164250.en. Downloaded on 27 December 2016.",Based on existing KBA,3. draft polygon,AZE (2018),,11/21/18,,11/21/18,"CR/EN, VU, endemic, other",24,65,Madagascar Rainforest,,Madagascar,Madagascar,East Africa West Indian Ocean,1," We work in Makira, Masoala is an expansion site. Others work in rest of stronghold.",3
14012,0,6070,Africa,"Congo, The Democratic Republic of the",COD,Itombwe Mountains,Itombwe Mountains,CD014,-3.4915047166,28.4219768644,confirmed,confirmed,confirmed,820796,little/none,0,IUCN SSC Amphibian Specialist Group. 2015. Chrysobatrachus cupreonitens. The IUCN Red List of Threatened Species 2015: e.T56093A16937505. http://dx.doi.org/10.2305/IUCN.UK.2015-2.RLTS.T56093A16937505.en. Downloaded on 24 February 2017.; Arne Schi├©tz. 20,"No change from existing AZE. It is noted that a suggestion from BAPED (DRC government) to change the boundary based on the new ""R├®serve naturelle dÔÇÖItombwe"" boundary.",3. draft polygon,AZE (2018),,04/17/11,,06/15/11,"CR/EN, VU, endemic, other",5,11,Oku-Kahuzi-Kabobo,Africa,DRC,Eastern DRC,Central Africa,1,,8208
14020,0,6604,Africa,Madagascar,MDG,R├®serve Sp├®ciale de Kalambatritra,Kalambatritra Special Reserve,MG083,-23.3578858508,46.5003833771,confirmed,confirmed,confirmed,31242,whole,1,"Andriaholinirina, N., Baden, A., Blanco, M., Chikhi, L., Cooke, A., Davies, N., Dolch, R., Donati, G., Ganzhorn, J., Golden, C., Groeneveld, L.F., Hapke, A., Irwin, M., Johnson, S., Kappeler, P., King, T., Lewis, R., Louis, E.E., Markolf, M., Mass, V., *",Based on existing KBA,3. draft polygon,AZE (2018),,03/17/16,,11/21/18,"CR/EN, VU, endemic, other",24,65,Madagascar Rainforest,,Madagascar,Madagascar,East Africa West Indian Ocean,1," We work in Makira, Masoala is an expansion site. Others work in rest of stronghold.",312
14047,0,6567,Africa,Madagascar,MDG,NAP Lac Alaotra,Lake Alaotra NPA,MG046,-17.5194481111,48.4741306269,confirmed,confirmed,confirmed,50879,whole,1,"Andriaholinirina, N., Baden, A., Blanco, M., Chikhi, L., Cooke, A., Davies, N., Dolch, R., Donati, G., Ganzhorn, J., Golden, C., Groeneveld, L.F., Hapke, A., Irwin, M., Johnson, S., Kappeler, P., King, T., Lewis, R., Louis, E.E., Markolf, M., Mass, V., *",No change from existing AZE,3. draft polygon,AZE (2018),,03/17/16,,,"CR/EN, VU, endemic, migratory birds/congregations, other",24,65,Madagascar Rainforest,,Madagascar,Madagascar,East Africa West Indian Ocean,1," We work in Makira, Masoala is an expansion site. Others work in rest of stronghold.",248
14066,0,47125,Africa,Congo,COG,Lower Congo River right bank,Lower Congo River right bank,,-1.2062016123,16.4752955152,,confirmed,confirmed,1221071,most,2,"Oates, J.F. & Struhsaker, T. 2016. Piliocolobus bouvieri. The IUCN Red List of Threatened Species 2016: e.T18250A92654006. http://dx.doi.org/10.2305/IUCN.UK.2016-1.RLTS.T18250A92654006.en. Downloaded on 27 December 2016.",Extraction of relevant polygon from species range map,3. draft polygon,AZE (2018),,11/21/18,,,CR/EN,6,13,West Central Africa Rainforest,Africa,Multiple,Guineo-Congolian inland forests,Central Africa,1,,9304
14074,0,47057,Africa,Madagascar,MDG,Mahasoa forest,Mahasoa forest,,-17.3017463443,48.6960289224,,confirmed,confirmed,857,little/none,1,IUCN SSC Amphibian Specialist Group. 2016. Gephyromantis mafy. The IUCN Red List of Threatened Species 2016: e.T49563555A49563617. http://dx.doi.org/10.2305/IUCN.UK.2016-1.RLTS.T49563555A49563617.en. Downloaded on 24 February 2017.,Based on species distribution map,3. draft polygon,AZE (2018),,11/21/18,,,CR/EN,24,65,Madagascar Rainforest,,Madagascar,Madagascar,East Africa West Indian Ocean,1," We work in Makira, Masoala is an expansion site. Others work in rest of stronghold.",9
14084,0,6538,Africa,Madagascar,MDG,Parc National de Masoala,Masoala National Park,MG017,-15.5127525573,50.1192981715,confirmed,confirmed,confirmed,207058,whole,2,"Andriaholinirina, N., Baden, A., Blanco, M., Chikhi, L., Cooke, A., Davies, N., Dolch, R., Donati, G., Ganzhorn, J., Golden, C., Groeneveld, L.F., Hapke, A., Irwin, M., Johnson, S., Kappeler, P., King, T., Lewis, R., Louis, E.E., Markolf, M., Mass, V., *",Based on existing KBA,3. draft polygon,AZE (2018),,03/17/16,,11/21/18,"CR/EN, VU, endemic, other",24,65,Madagascar Rainforest,,Madagascar,Madagascar,East Africa West Indian Ocean,1," We work in Makira, Masoala is an expansion site. Others work in rest of stronghold.",2052
14110,0,29692,Africa,Gabon,GAB,Mount Iboundji,Mount Iboundji,,-1.1507180015,11.7801999643,,confirmed,confirmed,972,little/none,0,Olivier Pauwels. 2006. Werneria iboundji. The IUCN Red List of Threatened Species 2006: e.T61761A12554976. http://dx.doi.org/10.2305/IUCN.UK.2006.RLTS.T61761A12554976.en. Downloaded on 24 February 2017.,No change from existing AZE,3. draft polygon,AZE (2018),,07/18/13,,,CR/EN,6,13,West Central Africa Rainforest,Africa,Multiple,Guineo-Congolian inland forests,Central Africa,1,,10
14116,0,6127,Africa,Cameroon,CMR,Mount Rata and Rumpi Hills Forest Reserve,Mount Rata and Rumpi Hills Forest Reserve,CM024,4.9007217966,9.0889767357,confirmed,confirmed,confirmed,45200,whole,1,"Kennerley, R. 2016. Myosorex rumpii. The IUCN Red List of Threatened Species 2016: e.T14113A22287321. http://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T14113A22287321.en. Downloaded on 27 December 2016.; Jean-Louis Amiet, Arne Schi├©tz. 2004. Alexteroon jyn",No change from existing AZE,3. draft polygon,AZE (2018),,05/12/05,,07/10/15,"CR/EN, VU, endemic, other",3,6,Greater Cross River,Africa,"Cameroon, Nigeria",Cross River-Takamanda,Central Africa,1,,451
14126,0,27111,Africa,Madagascar,MDG,NAP Ankeniheny - Lakato,Ankeniheny - Lakato NPA,,-19.0845260238,48.4297199493,,confirmed,confirmed,45767,most,1,IUCN SSC Amphibian Specialist Group. 2016. Boophis liami. The IUCN Red List of Threatened Species 2016: e.T57409A84163123. http://dx.doi.org/10.2305/IUCN.UK.2016-1.RLTS.T57409A84163123.en. Downloaded on 24 February 2017.,Based on existing KBA boundaries,3. draft polygon,AZE (2018),,03/17/16,,11/21/18,"CR/EN, VU",24,65,Madagascar Rainforest,,Madagascar,Madagascar,East Africa West Indian Ocean,1," We work in Makira, Masoala is an expansion site. Others work in rest of stronghold.",223
14127,0,22433,Africa,Madagascar,MDG,NAP Corridor Ambositra-Vondrozo (COFAV) (part of),NAP Corridor Ambositra-Vondrozo (COFAV) (part of),,-21.9727554225,47.2499400877,,confirmed,confirmed,161161,whole,1,"Kennerley, R. 2016. Eliurus penicillatus. The IUCN Red List of Threatened Species 2016: e.T7624A22238746. http://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T7624A22238746.en. Downloaded on 27 December 2016.",Based on existing KBA,3. draft polygon,AZE (2018),,03/17/16,,11/21/18,"CR/EN, VU",24,65,Madagascar Rainforest,,Madagascar,Madagascar,East Africa West Indian Ocean,1," We work in Makira, Masoala is an expansion site. Others work in rest of stronghold.",44
14128,0,22508,Africa,Madagascar,MDG,NAP Corridor Ankeniheny-Zahamena (CAZ),Ankeniheny Zahamena Corridor NPA (CAZ),,-18.2860589585,48.6536835147,,confirmed,confirmed,416761,most,5," Jenkins, R.K.B., Andreone, F., Andriamazava, A., Anjeriniaina, M., Glaw, F., Rabibisoa, N., Rakotomalala, D., Randrianantoandro, J.C., Randrianiriana, J., Randrianizahana , H., Ratsoavina, F. & Robsomanitrandrasana, E. 2011. Calumma furcifer. The IUCN *",Based on existing KBA boundaries,3. draft polygon,AZE (2018),,03/17/16,,11/21/18,"CR/EN, VU",24,65,Madagascar Rainforest,,Madagascar,Madagascar,East Africa West Indian Ocean,1," We work in Makira, Masoala is an expansion site. Others work in rest of stronghold.",155
14129,0,22499,Africa,Madagascar,MDG,NAP Corridor Tsaratanana-Marojejy (COMATSA),Tsaratanana-Marojejy Corridor NPA (COMATSA),,-14.0974184314,49.2134282239,,confirmed,confirmed,210203,little/none,0,IUCN SSC Amphibian Specialist Group. 2016. Cophyla olgae. The IUCN Red List of Threatened Species 2016: e.T49570575A49570579. http://dx.doi.org/10.2305/IUCN.UK.2016-1.RLTS.T49570575A49570579.en. Downloaded on 24 February 2017.,Based on existing KBA boundaries,3. draft polygon,AZE (2018),,03/17/16,,11/21/18,"CR/EN, VU",24,65,Madagascar Rainforest,,Madagascar,Madagascar,East Africa West Indian Ocean,1," We work in Makira, Masoala is an expansion site. Others work in rest of stronghold.",6
14198,0,6600,Africa,Madagascar,MDG,Parc National de Ranomafana et extension,Ranomafana National Park and extension,MG079,-21.1649279043,47.4475578859,confirmed,confirmed,confirmed,57494,whole,2,IUCN SSC Amphibian Specialist Group. 2015. Anodonthyla emilei. The IUCN Red List of Threatened Species 2015: e.T190941A1961657. http://dx.doi.org/10.2305/IUCN.UK.2015-4.RLTS.T190941A1961657.en. Downloaded on 23 February 2017.; IUCN SSC Amphibian Special*,No change from existing AZE,3. draft polygon,AZE (2018),,03/17/16,,,"CR/EN, VU, endemic, other",24,65,Madagascar Rainforest,,Madagascar,Madagascar,East Africa West Indian Ocean,1," We work in Makira, Masoala is an expansion site. Others work in rest of stronghold.",150
14235,0,6539,Africa,Madagascar,MDG,Parc National Marin Sahamalaza - Iles Radama,Sahamalaza - Radama Islands National Marine Park,MG018,-14.1837071788,47.9718111858,confirmed,confirmed,confirmed,64477,some,1,"Andriaholinirina, N., Baden, A., Blanco, M., Chikhi, L., Cooke, A., Davies, N., Dolch, R., Donati, G., Ganzhorn, J., Golden, C., Groeneveld, L.F., Rakotoarisoa, G., Rakotomanga, B., Rakotonanahary, J., Rakotondrainibe, H., Rakotondratsimba, G., Rakotond*","Extension of existing AZE ""Sahamalaza - Radama Islands National Marine Park"" to also include two small polygons of Protected Area ""Sahamalaza""",3. draft polygon,AZE (2018),,03/17/16,,,"CR/EN, VU, migratory birds/congregations, other",24,65,Madagascar Rainforest,,Madagascar,Madagascar,East Africa West Indian Ocean,1," We work in Makira, Masoala is an expansion site. Others work in rest of stronghold.",596
14312,0,22510,Africa,Tanzania,TZA,Udzungwa Mountain Range,Udzungwa Mountain Range,,-8.0311227633,36.2066220437,,confirmed,confirmed,542102,whole,23,"Kennerley, R. 2016. Congosorex phillipsorum. The IUCN Red List of Threatened Species 2016: e.T136343A22290201. http://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T136343A22290201.en. Downloaded on 27 December 2016.; Howell, K. & Hutterer, R. 2008. Myosorex k*",Based on existing AZE (Udzungwa Mountains) with the additional forest fragment of Magombera (following its KBA boundaries),3. draft polygon,AZE (2018),,06/01/11,,03/23/11,"CR/EN, VU",23,63,Niyassa-Selous,,Tanzania y Mozambique,Niassa-Selous,East Africa West Indian Ocean,1,"WCS in Niassa, Others in Selous",0
14327,0,29694,Africa,Uganda,UGA,Virunga National Park and Rutshuru catchment (Uganda),Virunga National Park and Rutshuru catchment (Uganda),,-1.2387708746,29.7606275501,,confirmed,confirmed,100191,little/none,4,"Cumberlidge, N. 2016. Potamonautes mutandensis. The IUCN Red List of Threatened Species 2016: e.T44533A84352582. http://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T44533A84352582.en. Downloaded on 23 February 2017.; De Grave, S. 2013. Caridina subventralis.*",Based on existing KBA,4. refined polygon,AZE (2018),,12/05/05,,11/21/18,"CR/EN, VU",0,1,Northern Albertine Rift,Africa,"DRC, Rwanda, Uganda",Greater Virunga,Central Africa,1,,372
14403,0,24673,Africa,Madagascar,MDG,NAP Bemanevika / Tsaratanana massif (south-west),Bemanevika NPA / Tsaratanana massif (south-west),,-14.3458501543,48.6066430581,,confirmed,confirmed,99221,some,2,"Andriaholinirina, N., Baden, A., Blanco, M., Chikhi, L., Cooke, A., Davies, N., Dolch, R., Donati, G., Ganzhorn, J., Golden, C., Groeneveld, L.F., Hapke, A., Irwin, M., Johnson, S., Kappeler, P., King, T., Lewis, R., Louis, E.E., Markolf, M., Mass, V., M","Extension of existing AZE ""Bemanevika NPA / Tsaratanana massif (south-west)"" east and west to encompass the remainder of the distribution of Microcebus margotmarshae.",3. draft polygon,AZE (2018),,07/18/13,,,"CR/EN, VU",24,65,Madagascar Rainforest,,Madagascar,Madagascar,East Africa West Indian Ocean,1," We work in Makira, Masoala is an expansion site. Others work in rest of stronghold.",992
14465,0,6699,Africa,Mozambique,MOZ,Njesi plateau,Njesi plateau,MZ015,-12.5783257444,35.2022681235,confirmed,confirmed,confirmed,199627,little/none,0,http://datazone.birdlife.org/site/factsheet/6699,"Extended boundary provided by reviewer, replaces earlier draft boundary, based on the findings of a recent expedition",3. draft polygon,AZE (2018),,03/11/09,,11/21/18,"CR/EN, VU, endemic, other",23,63,Niyassa-Selous,,Tanzania y Mozambique,Niassa-Selous,East Africa West Indian Ocean,1,"WCS in Niassa, Others in Selous",1996
14510,0,6069,Africa,"Congo, The Democratic Republic of the",COD,Kahuzi-Biega National Park,Kahuzi-Biega National Park,CD013,-2.132478685,28.0493843055,confirmed,confirmed,confirmed,673081,whole,3,Dieterlen. F. 2008. Dendromus kahuziensis. The IUCN Red List of Threatened Species 2008: e.T6439A12767863. http://dx.doi.org/10.2305/IUCN.UK.2008.RLTS.T6439A12767863.en. Downloaded on 27 December 2016.,No change from existing AZE,3. draft polygon,AZE (2018),,12/05/05,,,"CR/EN, VU, endemic, other",5,11,Oku-Kahuzi-Kabobo,Africa,DRC,Eastern DRC,Central Africa,1,,6731
14524,0,29671,Africa,"Congo, The Democratic Republic of the",COD,Lake Kivu catchment (DRC),Lake Kivu catchment (DRC),,-2.0044768295,29.0389292481,,confirmed,confirmed,144611,little/none,0,"Cumberlidge, N. 2008. Potamonautes gonocristatus. The IUCN Red List of Threatened Species 2008: e.T44525A10913510. http://dx.doi.org/10.2305/IUCN.UK.2008.RLTS.T44525A10913510.en. Downloaded on 23 February 2017.; Cumberlidge, N. 2008. Potamonautes idjiwie",Combination of two existing KBAs - Lake Kivu catchment (DRC) & Lake Kivu catchment (Rwanda) to create one transboundary site,4. refined polygon,AZE (2018),,11/21/18,,11/21/18,CR/EN,0,1,Northern Albertine Rift,Africa,"DRC, Rwanda, Uganda",Greater Virunga,Central Africa,1,,422
14524,0,29671,Africa,"Congo, The Democratic Republic of the",COD,Lake Kivu catchment (DRC),Lake Kivu catchment (DRC),,-2.0044768295,29.0389292481,,confirmed,confirmed,144611,little/none,0,"Cumberlidge, N. 2008. Potamonautes gonocristatus. The IUCN Red List of Threatened Species 2008: e.T44525A10913510. http://dx.doi.org/10.2305/IUCN.UK.2008.RLTS.T44525A10913510.en. Downloaded on 23 February 2017.; Cumberlidge, N. 2008. Potamonautes idjiwie",Combination of two existing KBAs - Lake Kivu catchment (DRC) & Lake Kivu catchment (Rwanda) to create one transboundary site,4. refined polygon,AZE (2018),,11/21/18,,11/21/18,CR/EN,5,11,Oku-Kahuzi-Kabobo,Africa,DRC,Eastern DRC,Central Africa,1,,79
14526,0,6066,Africa,"Congo, The Democratic Republic of the",COD,Virunga National Park,Virunga National Park,CD010,-0.3117880742,29.4969732708,confirmed,confirmed,confirmed,607750,whole,3,"Kennerley, R. 2016. Dasymys montanus. The IUCN Red List of Threatened Species 2016: e.T6270A22436480. http://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T6270A22436480.en. Downloaded on 27 December 2016.; Kerbis Peterhans, J. 2008. Myosorex blarina. The IUCN","Extension of existing AZE ""Rwenzori National Park"" to include the neighbouring KBA ""Virunga National Park"" which also comprises part of the Rwenzori / Ruwenzori mountain range.",3. draft polygon,AZE (2018),,12/05/05,,11/21/18,"CR/EN, VU, endemic, other",0,1,Northern Albertine Rift,Africa,"DRC, Rwanda, Uganda",Greater Virunga,Central Africa,1,,4653
14530,0,29659,Africa,Rwanda,RWA,Lake Kivu catchment (Rwanda),Lake Kivu catchment (Rwanda),,-2.0404319345,29.1867283403,,confirmed,confirmed,96991,little/none,0,"Cumberlidge, N. 2008. Potamonautes gonocristatus. The IUCN Red List of Threatened Species 2008: e.T44525A10913510. http://dx.doi.org/10.2305/IUCN.UK.2008.RLTS.T44525A10913510.en. Downloaded on 23 February 2017.; Cumberlidge, N. 2008. Potamonautes idjiwie",Combination of two existing KBAs - Lake Kivu catchment (DRC) & Lake Kivu catchment (Rwanda) to create one transboundary site,4. refined polygon,AZE (2018),,11/21/18,,11/21/18,CR/EN,0,1,Northern Albertine Rift,Africa,"DRC, Rwanda, Uganda",Greater Virunga,Central Africa,1,,157
14530,0,29659,Africa,Rwanda,RWA,Lake Kivu catchment (Rwanda),Lake Kivu catchment (Rwanda),,-2.0404319345,29.1867283403,,confirmed,confirmed,96991,little/none,0,"Cumberlidge, N. 2008. Potamonautes gonocristatus. The IUCN Red List of Threatened Species 2008: e.T44525A10913510. http://dx.doi.org/10.2305/IUCN.UK.2008.RLTS.T44525A10913510.en. Downloaded on 23 February 2017.; Cumberlidge, N. 2008. Potamonautes idjiwie",Combination of two existing KBAs - Lake Kivu catchment (DRC) & Lake Kivu catchment (Rwanda) to create one transboundary site,4. refined polygon,AZE (2018),,11/21/18,,11/21/18,CR/EN,5,11,Oku-Kahuzi-Kabobo,Africa,DRC,Eastern DRC,Central Africa,1,,3
14535,0,7045,Africa,Uganda,UGA,Rwenzori Mountains National Park,Ruwenzori (Rwenzori) Mountains National Park,UG005,0.394430714,29.9739327437,confirmed,confirmed,confirmed,98963,whole,3,"Kennerley, R. 2016. Dasymys montanus. The IUCN Red List of Threatened Species 2016: e.T6270A22436480. http://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T6270A22436480.en. Downloaded on 27 December 2016.; Kerbis Peterhans, J. 2008. Myosorex blarina. The IUCN","Extension of existing AZE ""Rwenzori National Park"" to include the neighbouring KBA ""Virunga National Park"" which also comprises part of the Rwenzori / Ruwenzori mountain range.",3. draft polygon,AZE (2018),,12/05/05,,,"CR/EN, VU, endemic, other",0,1,Northern Albertine Rift,Africa,"DRC, Rwanda, Uganda",Greater Virunga,Central Africa,1,,781
14801,0,6125,Africa,Cameroon,CMR,Bakossi mountains,Bakossi mountains,CM022,4.9834313111,9.602268028,confirmed,confirmed,de-listed,75581,some,1,RSPB funded initiative to create polygon boundaries for IBAs in Africa.,"Digitized from national and continental scale maps of protected areas, lakes and wetlands.",3. draft polygon,"Paul Britten, RSPB",,05/12/05,,03/11/19,"CR/EN, VU, endemic, other",3,6,Greater Cross River,Africa,"Cameroon, Nigeria",Cross River-Takamanda,Central Africa,1,,515
15016,0,6071,Africa,"Congo, The Democratic Republic of the",COD,Mount Kabobo,Mount Kabobo,CD015,-4.8994890139,29.0040522299,confirmed,confirmed,,437591,little/none,0,CEPF EastAfro Mountane RIT,Boundary updated in October 2019 to version provided by Agyemang Opoku at time of reassessment,3. draft polygon,,,10/15/19,,,"CR/EN, VU, endemic, other",5,11,Oku-Kahuzi-Kabobo,Africa,DRC,Eastern DRC,Central Africa,1,,4376
15480,0,6534,Africa,Madagascar,MDG,R├®serve Sp├®ciale de Manongarivo et extension,Manongarivo Special Reserve and extension,MG013,-14.0693525519,48.390056005,confirmed,confirmed,confirmed,93556,whole,1,"Andriaholinirina, N., Baden, A., Blanco, M., Chikhi, L., Cooke, A., Davies, N., Dolch, R., Donati, G., Ganzhorn, J., Golden, C., Groeneveld, L.F., Hapke, A., Irwin, M., Johnson, S., Kappeler, P., King, T., Lewis, R., Louis, E.E., Markolf, M., Mass, V., *",Based on existing KBA and extended to include other trigger species habitat,3. draft polygon,AZE (2018),,04/10/06,,11/21/18,"CR/EN, VU, endemic, other",24,65,Madagascar Rainforest,,Madagascar,Madagascar,East Africa West Indian Ocean,1," We work in Makira, Masoala is an expansion site. Others work in rest of stronghold.",936
15481,0,6571,Africa,Madagascar,MDG,Zone humide de Didy et Ivondro,Didy and Ivondro wetlands,MG050,-18.1465956582,48.5032680202,confirmed,,,40156,little/none,0,"IBA Directory. ANGAP, National Association for the Management of Protected Areas
BIRDLIFE, DGEF, Directorate General of Water and Forests. ZICOMA (1999). Les Zones d'importance pour la conservation des Oiseaux ├á Madagascar.","Digitised from IBA Directory, Satellite Imagery and additional land datasets.",3. draft polygon,IBA Process,,03/13/20,,,"CR/EN, VU, endemic, migratory birds/congregations, other",24,65,Madagascar Rainforest,,Madagascar,Madagascar,East Africa West Indian Ocean,1," We work in Makira, Masoala is an expansion site. Others work in rest of stronghold.",287
15487,0,6561,Africa,Madagascar,MDG,For├¬t Class├®e d'Anjanaharibe,Anjanaharibe Classified Forest,MG040,-15.2360346819,49.6911872239,confirmed,,,41572,whole,1,IBA Process (2001),Based on IBA layer provided,3. draft polygon,IBA Process (2001),,03/18/20,,,"CR/EN, VU, endemic, other",24,65,Madagascar Rainforest,,Madagascar,Madagascar,East Africa West Indian Ocean,1," We work in Makira, Masoala is an expansion site. Others work in rest of stronghold.",299
